#=====================================================
# File created:        Fri-15-Mar-2024-at-01-11-37AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.299426
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
 00000 0.5000   -2355.3028 0.2780 
 00001 0.6832   -3732.8637 0.2797 
 00002 0.6264   -4539.5836 0.2799 
 00003 0.5892   -5128.3263 0.2925 
 00004 0.5676   -5580.4280 0.3012 
 00005 0.5456   -5910.6243 0.3083 
 00006 0.5064   -6125.4305 0.3011 
 00007 0.5124   -6321.9766 0.3035 
 00008 0.4816   -6488.5556 0.3103 
 00009 0.4840   -6655.9907 0.3159 
 00010 0.4848   -6741.5400 0.3129 
 00011 0.4696   -6864.4068 0.3140 
 00012 0.4756   -6983.6318 0.3145 
 00013 0.4688   -7059.1152 0.3183 
 00014 0.4756   -7237.8036 0.3245 
 00015 0.4584   -7291.8066 0.3240 
 00016 0.4540   -7343.0522 0.3233 
 00017 0.4624   -7426.9436 0.3281 
 00018 0.4524   -7499.3318 0.3285 
 00019 0.4552   -7526.4387 0.3298 
 00020 0.4484   -7587.9353 0.3401 
 00021 0.4508   -7658.3931 0.3368 
 00022 0.4444   -7694.3355 0.3416 
 00023 0.4552   -7723.7236 0.3449 
 00024 0.4412   -7755.4148 0.3458 
 00025 0.4464   -7753.7893 0.3516 
 00026 0.4552   -7763.9859 0.3552 
 00027 0.4564   -7843.6642 0.3573 
 00028 0.4488   -7890.1022 0.3547 
 00029 0.4420   -7918.3251 0.3571 
 00030 0.4172   -7940.2480 0.3636 
 00031 0.4380   -7936.9394 0.3617 
 00032 0.4368   -7947.4425 0.3543 
 00033 0.4308   -8045.8980 0.3512 
 00034 0.4376   -8098.7876 0.3495 
 00035 0.4352   -8088.9153 0.3404 
 00036 0.4288   -8104.4104 0.3399 
 00037 0.4324   -8118.9496 0.3437 
 00038 0.4420   -8144.2934 0.3447 
 00039 0.4160   -8182.1752 0.3448 
 00040 0.4088   -8192.2603 0.3493 
 00041 0.4316   -8172.4810 0.3499 
 00042 0.4336   -8217.5745 0.3555 
 00043 0.4416   -8179.3587 0.3579 
 00044 0.4232   -8208.3117 0.3544 
 00045 0.4300   -8203.1604 0.3567 
 00046 0.4244   -8186.2320 0.3605 
 00047 0.4232   -8185.3018 0.3624 
 00048 0.4240   -8208.3347 0.3660 
 00049 0.4240   -8221.6702 0.3629 
 00050 0.4116   -8298.6739 0.3592 
