#=====================================================
# File created:        Fri-15-Mar-2024-at-01-12-45AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.297667
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
 00000 0.5000   -2519.7887 0.2648 
 00001 0.6868   -3794.1765 0.2741 
 00002 0.6288   -4541.6991 0.2713 
 00003 0.5892   -5146.5415 0.2764 
 00004 0.5432   -5557.0557 0.2828 
 00005 0.5296   -5937.3067 0.2766 
 00006 0.5100   -6185.1148 0.2751 
 00007 0.5076   -6360.1962 0.2718 
 00008 0.4992   -6537.2941 0.2787 
 00009 0.5068   -6694.7871 0.2849 
 00010 0.4680   -6814.8119 0.2824 
 00011 0.4832   -6948.1169 0.2810 
 00012 0.4720   -7010.9525 0.2794 
 00013 0.4648   -7059.0306 0.2851 
 00014 0.4632   -7129.6122 0.2884 
 00015 0.4572   -7209.4259 0.2921 
 00016 0.4744   -7243.3261 0.2919 
 00017 0.4532   -7283.1265 0.2926 
 00018 0.4568   -7383.4333 0.2927 
 00019 0.4540   -7429.3529 0.2860 
 00020 0.4560   -7467.6372 0.2881 
 00021 0.4540   -7565.6778 0.2917 
 00022 0.4532   -7574.8408 0.2926 
 00023 0.4268   -7636.6992 0.3036 
 00024 0.4512   -7712.2764 0.3053 
 00025 0.4380   -7725.1733 0.3115 
 00026 0.4460   -7734.3565 0.3127 
 00027 0.4136   -7802.9775 0.3077 
 00028 0.4480   -7794.7426 0.3090 
 00029 0.4324   -7850.4063 0.3079 
 00030 0.4324   -7880.1595 0.3090 
 00031 0.4340   -7873.9514 0.3121 
 00032 0.4348   -7919.7786 0.3165 
 00033 0.4392   -7932.1494 0.3178 
 00034 0.4324   -7956.4040 0.3186 
 00035 0.4196   -7966.5141 0.3196 
 00036 0.4332   -7975.3788 0.3268 
 00037 0.4392   -8017.2583 0.3321 
 00038 0.4468   -8014.5582 0.3387 
 00039 0.4152   -8001.8605 0.3377 
 00040 0.4236   -8003.3110 0.3383 
 00041 0.4252   -7991.5863 0.3340 
 00042 0.4340   -8002.3484 0.3325 
 00043 0.4288   -8026.1257 0.3326 
 00044 0.4364   -8050.2302 0.3279 
 00045 0.4484   -8060.6324 0.3283 
 00046 0.4340   -8063.9634 0.3253 
 00047 0.4248   -8102.6179 0.3201 
 00048 0.4364   -8118.3359 0.3256 
 00049 0.4152   -8112.9418 0.3280 
 00050 0.4256   -8146.2625 0.3325 
