#=====================================================
# File created:        Fri-15-Mar-2024-at-01-07-32AM
# Size of lattice:     50x50
# Number of MC steps:  150
# Reduced temperature: 0.500
# Run time (s):        0.835990
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2452.0752  0.2630 
   00001    0.6828   -3623.6360  0.2584 
   00002    0.6244   -4448.4979  0.2709 
   00003    0.5960   -5086.5347  0.2731 
   00004    0.5764   -5509.7901  0.2799 
   00005    0.5292   -5779.4506  0.2767 
   00006    0.5280   -6071.7218  0.2845 
   00007    0.5092   -6324.5233  0.2880 
   00008    0.4948   -6526.9763  0.2919 
   00009    0.4696   -6655.1878  0.2952 
   00010    0.4852   -6748.4232  0.2979 
   00011    0.4776   -6810.9636  0.2952 
   00012    0.4864   -6885.4814  0.2952 
   00013    0.4656   -7009.1029  0.2978 
   00014    0.4764   -7109.7530  0.3012 
   00015    0.4736   -7236.8743  0.3032 
   00016    0.4848   -7344.9272  0.3053 
   00017    0.4632   -7421.7952  0.3061 
   00018    0.4616   -7528.8399  0.3062 
   00019    0.4356   -7549.2795  0.3078 
   00020    0.4476   -7611.1077  0.3031 
   00021    0.4412   -7637.9880  0.2992 
   00022    0.4424   -7705.7819  0.3017 
   00023    0.4400   -7737.2306  0.3018 
   00024    0.4424   -7725.6508  0.3072 
   00025    0.4508   -7762.8671  0.3155 
   00026    0.4496   -7819.2100  0.3174 
   00027    0.4412   -7867.8232  0.3195 
   00028    0.4392   -7892.7782  0.3188 
   00029    0.4340   -7929.3668  0.3096 
   00030    0.4196   -7943.0530  0.3071 
   00031    0.4320   -7936.5710  0.3121 
   00032    0.4416   -8000.6661  0.3163 
   00033    0.4412   -8013.3479  0.3095 
   00034    0.4260   -7944.5422  0.3102 
   00035    0.4172   -7971.2530  0.3158 
   00036    0.4292   -7957.4889  0.3171 
   00037    0.4392   -7957.0783  0.3204 
   00038    0.4236   -7976.0420  0.3244 
   00039    0.4224   -8006.9506  0.3247 
   00040    0.4268   -7985.2910  0.3256 
   00041    0.4464   -8006.0651  0.3268 
   00042    0.4324   -8031.7502  0.3212 
   00043    0.4232   -7986.1341  0.3274 
   00044    0.4316   -8015.4154  0.3251 
   00045    0.4312   -8016.3414  0.3353 
   00046    0.4300   -8046.5738  0.3334 
   00047    0.4176   -8066.1325  0.3249 
   00048    0.4212   -8092.2605  0.3257 
   00049    0.4256   -8181.7975  0.3306 
   00050    0.4188   -8248.7167  0.3337 
   00051    0.4220   -8208.1422  0.3382 
   00052    0.4376   -8187.9389  0.3421 
   00053    0.4248   -8174.6559  0.3456 
   00054    0.4228   -8184.0328  0.3468 
   00055    0.4408   -8193.5031  0.3455 
   00056    0.4064   -8167.9500  0.3413 
   00057    0.4100   -8155.5067  0.3459 
   00058    0.4260   -8171.6168  0.3468 
   00059    0.4352   -8183.4286  0.3557 
   00060    0.4224   -8208.4027  0.3531 
   00061    0.4312   -8198.3863  0.3587 
