#=====================================================
# File created:        Fri-15-Mar-2024-at-01-13-46AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.299671
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
 00000 0.5000   -2544.1398 0.2680 
 00001 0.6796   -3768.1795 0.2857 
 00002 0.6284   -4511.2810 0.2944 
 00003 0.5972   -5089.1425 0.2995 
 00004 0.5784   -5582.3144 0.3164 
 00005 0.5292   -6037.9984 0.3269 
 00006 0.5048   -6326.8376 0.3304 
 00007 0.4884   -6567.0761 0.3388 
 00008 0.4844   -6739.9297 0.3431 
 00009 0.4732   -6897.8738 0.3475 
 00010 0.4672   -7022.3108 0.3571 
 00011 0.4856   -7141.3305 0.3644 
 00012 0.4548   -7213.9110 0.3683 
 00013 0.4540   -7279.7559 0.3689 
 00014 0.4528   -7363.6387 0.3676 
 00015 0.4524   -7418.3252 0.3747 
 00016 0.4360   -7501.0373 0.3680 
 00017 0.4504   -7594.3896 0.3708 
 00018 0.4208   -7607.2603 0.3699 
 00019 0.4368   -7705.8366 0.3727 
 00020 0.4436   -7682.6150 0.3778 
 00021 0.4380   -7665.6313 0.3791 
 00022 0.4340   -7765.8874 0.3798 
 00023 0.4264   -7802.0591 0.3893 
 00024 0.4332   -7844.9444 0.3886 
 00025 0.4412   -7806.7519 0.3869 
 00026 0.4436   -7813.6841 0.3945 
 00027 0.4368   -7825.0960 0.3996 
 00028 0.4468   -7884.3627 0.4029 
 00029 0.4312   -7879.3900 0.4085 
 00030 0.4380   -7897.5885 0.4072 
 00031 0.4292   -7872.9565 0.4149 
 00032 0.4484   -7857.4458 0.4060 
 00033 0.4272   -7889.6803 0.4136 
 00034 0.4460   -7896.3847 0.4066 
 00035 0.4308   -7898.1020 0.4085 
 00036 0.4424   -7923.0015 0.4168 
 00037 0.4336   -7973.2253 0.4134 
 00038 0.4240   -7989.2621 0.4175 
 00039 0.4320   -8019.7272 0.4257 
 00040 0.4148   -8055.7805 0.4221 
 00041 0.4276   -8104.9943 0.4194 
 00042 0.4172   -8061.6493 0.4248 
 00043 0.4404   -8064.2500 0.4256 
 00044 0.4132   -8052.2688 0.4327 
 00045 0.4268   -8045.9939 0.4310 
 00046 0.4444   -8027.2418 0.4390 
 00047 0.4240   -8028.4832 0.4431 
 00048 0.4224   -8037.0364 0.4500 
 00049 0.4324   -8090.5045 0.4556 
 00050 0.4368   -8122.4190 0.4613 
