#=====================================================
# File created:        Fri-15-Mar-2024-at-01-13-07AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.299799
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
 00000 0.5000   -2439.1242 0.2681 
 00001 0.6736   -3622.7160 0.2731 
 00002 0.6196   -4472.7544 0.2765 
 00003 0.5956   -5046.0814 0.2913 
 00004 0.5664   -5490.1089 0.2908 
 00005 0.5436   -5808.2026 0.2945 
 00006 0.5188   -6173.9111 0.3041 
 00007 0.5124   -6426.3591 0.3012 
 00008 0.4956   -6586.6745 0.3050 
 00009 0.4940   -6702.7048 0.3045 
 00010 0.4588   -6852.7025 0.3095 
 00011 0.4812   -6945.3997 0.3065 
 00012 0.4536   -7038.2429 0.3040 
 00013 0.4552   -7138.2501 0.3078 
 00014 0.4660   -7239.2079 0.3076 
 00015 0.4656   -7304.3095 0.3125 
 00016 0.4660   -7374.4296 0.3220 
 00017 0.4392   -7404.7185 0.3263 
 00018 0.4656   -7475.0475 0.3256 
 00019 0.4456   -7524.9930 0.3367 
 00020 0.4504   -7560.1573 0.3387 
 00021 0.4444   -7608.9702 0.3388 
 00022 0.4452   -7594.8042 0.3375 
 00023 0.4440   -7641.8625 0.3360 
 00024 0.4292   -7630.9226 0.3379 
 00025 0.4372   -7682.9694 0.3400 
 00026 0.4500   -7698.4867 0.3389 
 00027 0.4396   -7719.8718 0.3403 
 00028 0.4488   -7716.1843 0.3417 
 00029 0.4236   -7749.3143 0.3411 
 00030 0.4340   -7737.7777 0.3413 
 00031 0.4408   -7782.8335 0.3390 
 00032 0.4420   -7772.6358 0.3320 
 00033 0.4396   -7746.3186 0.3324 
 00034 0.4448   -7822.9285 0.3362 
 00035 0.4356   -7860.3602 0.3412 
 00036 0.4300   -7913.8626 0.3364 
 00037 0.4316   -7942.4878 0.3396 
 00038 0.4392   -7921.4275 0.3499 
 00039 0.4328   -7907.5426 0.3467 
 00040 0.4280   -7942.0933 0.3426 
 00041 0.4472   -7910.7286 0.3405 
 00042 0.4340   -7945.0614 0.3418 
 00043 0.4436   -7929.8972 0.3381 
 00044 0.4428   -7891.9560 0.3404 
 00045 0.4352   -7891.8840 0.3430 
 00046 0.4288   -7882.4229 0.3476 
 00047 0.4276   -7886.6413 0.3456 
 00048 0.4316   -7944.9405 0.3490 
 00049 0.4536   -7999.2303 0.3477 
 00050 0.4268   -8001.3754 0.3505 
