#=====================================================
# File created:        Fri-15-Mar-2024-at-01-30-03AM
# Size of lattice:     50x50
# Number of MC steps:  25
# Reduced temperature: 0.500
# Run time (s):        1.389217
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2512.1264  0.2640 
   00001    0.6844   -3784.2316  0.2639 
   00002    0.6236   -4629.4506  0.2694 
   00003    0.5696   -5126.1274  0.2777 
   00004    0.5328   -5522.7446  0.2808 
   00005    0.5524   -5823.6862  0.2772 
   00006    0.5232   -6108.5098  0.2888 
   00007    0.5056   -6342.8667  0.3067 
   00008    0.5096   -6498.4256  0.3043 
   00009    0.4860   -6684.2122  0.3115 
   00010    0.4856   -6922.0166  0.3197 
   00011    0.4768   -7034.8676  0.3219 
   00012    0.4712   -7184.2352  0.3249 
   00013    0.4664   -7279.4660  0.3350 
   00014    0.4548   -7343.9214  0.3378 
   00015    0.4500   -7384.2141  0.3482 
   00016    0.4460   -7505.7373  0.3516 
   00017    0.4640   -7634.2268  0.3475 
   00018    0.4356   -7677.9910  0.3514 
   00019    0.4484   -7712.6870  0.3557 
   00020    0.4456   -7792.4564  0.3611 
   00021    0.4296   -7801.2525  0.3651 
   00022    0.4340   -7837.5342  0.3655 
   00023    0.4396   -7852.1440  0.3715 
   00024    0.4372   -7871.1208  0.3733 
   00025    0.4504   -7897.4629  0.3775 
