#=====================================================
# File created:        Fri-15-Mar-2024-at-01-06-59AM
# Size of lattice:     50x50
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        0.563216
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2595.5741  0.2613 
   00001    0.6780   -3697.5942  0.2656 
   00002    0.6360   -4465.0412  0.2885 
   00003    0.5848   -5086.2908  0.2927 
   00004    0.5732   -5564.3689  0.3088 
   00005    0.5436   -5953.6707  0.3228 
   00006    0.5168   -6251.9588  0.3288 
   00007    0.5092   -6485.9464  0.3451 
   00008    0.4832   -6656.8789  0.3535 
   00009    0.4908   -6869.3661  0.3608 
   00010    0.4568   -7045.9069  0.3715 
   00011    0.4504   -7172.4569  0.3736 
   00012    0.4444   -7304.7809  0.3757 
   00013    0.4568   -7409.8338  0.3806 
   00014    0.4464   -7514.1211  0.3843 
   00015    0.4312   -7579.5050  0.3860 
   00016    0.4340   -7601.2357  0.3884 
   00017    0.4256   -7632.0733  0.3936 
   00018    0.4384   -7677.0358  0.3931 
   00019    0.4280   -7757.6926  0.4000 
   00020    0.4452   -7785.0766  0.4024 
   00021    0.4320   -7783.3827  0.4085 
   00022    0.4380   -7861.0847  0.4101 
   00023    0.4348   -7868.1437  0.4093 
   00024    0.4148   -7851.4018  0.4131 
   00025    0.4432   -7924.0622  0.4146 
   00026    0.4356   -7946.7513  0.4197 
   00027    0.4204   -7949.7352  0.4187 
   00028    0.4416   -7975.0934  0.4230 
   00029    0.4472   -7976.1791  0.4225 
   00030    0.4380   -7998.3619  0.4180 
   00031    0.4260   -8000.6387  0.4188 
   00032    0.4100   -8038.1108  0.4236 
   00033    0.4316   -7983.1355  0.4259 
   00034    0.4324   -8105.5871  0.4288 
   00035    0.4276   -8109.8491  0.4255 
   00036    0.4304   -8098.3639  0.4270 
   00037    0.4124   -8105.4089  0.4323 
   00038    0.4200   -8104.8685  0.4310 
   00039    0.4068   -8118.1136  0.4388 
   00040    0.4224   -8104.3754  0.4314 
   00041    0.4336   -8107.1537  0.4253 
   00042    0.4372   -8136.5759  0.4258 
   00043    0.4336   -8108.2226  0.4226 
   00044    0.4212   -8097.5875  0.4214 
   00045    0.4296   -8121.8066  0.4310 
   00046    0.4432   -8180.1042  0.4308 
   00047    0.4352   -8178.9183  0.4320 
   00048    0.4396   -8172.5524  0.4336 
   00049    0.4184   -8165.8193  0.4271 
   00050    0.4296   -8165.0843  0.4313 
   00051    0.4144   -8166.5754  0.4268 
   00052    0.4276   -8207.0960  0.4244 
   00053    0.4168   -8238.4564  0.4324 
   00054    0.4224   -8301.4988  0.4405 
   00055    0.4108   -8317.1165  0.4414 
   00056    0.4220   -8310.9888  0.4456 
   00057    0.4100   -8302.9358  0.4409 
   00058    0.4204   -8277.8686  0.4452 
   00059    0.4284   -8258.5909  0.4454 
   00060    0.4160   -8274.2507  0.4441 
   00061    0.4236   -8266.9478  0.4432 
   00062    0.4192   -8279.7066  0.4490 
   00063    0.4232   -8301.1611  0.4491 
   00064    0.4316   -8328.4817  0.4520 
   00065    0.4256   -8342.1322  0.4535 
   00066    0.4380   -8305.2889  0.4555 
   00067    0.4176   -8276.2038  0.4586 
   00068    0.4148   -8265.4451  0.4665 
   00069    0.4188   -8252.8170  0.4627 
   00070    0.4156   -8243.5820  0.4565 
   00071    0.4188   -8260.5548  0.4577 
   00072    0.4308   -8291.8680  0.4578 
   00073    0.4180   -8302.3894  0.4526 
   00074    0.4020   -8300.5030  0.4477 
   00075    0.4304   -8335.4566  0.4438 
   00076    0.4340   -8338.5258  0.4383 
   00077    0.4048   -8331.5312  0.4365 
   00078    0.4068   -8359.9247  0.4368 
   00079    0.4232   -8367.5025  0.4382 
   00080    0.4156   -8439.1557  0.4457 
   00081    0.4052   -8421.2459  0.4452 
   00082    0.4096   -8406.3627  0.4465 
   00083    0.4088   -8412.8277  0.4494 
   00084    0.4112   -8389.7729  0.4505 
   00085    0.4132   -8381.0493  0.4473 
   00086    0.4148   -8416.5420  0.4564 
   00087    0.4000   -8427.7048  0.4591 
   00088    0.4168   -8415.6061  0.4524 
   00089    0.4388   -8425.6581  0.4508 
   00090    0.4244   -8437.7777  0.4502 
   00091    0.4156   -8462.7072  0.4476 
   00092    0.4108   -8426.5257  0.4482 
   00093    0.4384   -8454.2534  0.4490 
   00094    0.4216   -8385.2808  0.4424 
   00095    0.4220   -8432.5801  0.4398 
   00096    0.4060   -8391.2030  0.4271 
   00097    0.4236   -8367.5604  0.4268 
   00098    0.4300   -8340.5961  0.4314 
   00099    0.4388   -8349.7444  0.4324 
   00100    0.4200   -8359.8798  0.4321 
