#=====================================================
# File created:        Fri-15-Mar-2024-at-01-00-01AM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        2.633668
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2535.4366  0.2568 
   00001    0.9704   -3340.0477  0.2609 
   00002    0.8320   -3975.6062  0.2618 
   00003    0.7392   -4441.3909  0.2662 
   00004    0.6792   -4802.4988  0.2706 
   00005    0.6248   -5158.1793  0.2796 
   00006    0.5968   -5446.5972  0.2750 
   00007    0.5104   -5716.1498  0.2736 
   00008    0.5288   -5913.4599  0.2734 
   00009    0.4672   -6109.7808  0.2730 
   00010    0.4432   -6252.9191  0.2710 
   00011    0.4088   -6375.0356  0.2712 
   00012    0.3800   -6496.2696  0.2754 
   00013    0.4088   -6645.0121  0.2771 
   00014    0.3616   -6767.4185  0.2759 
   00015    0.3520   -6888.7354  0.2763 
   00016    0.3352   -6962.9666  0.2726 
   00017    0.3296   -7025.5053  0.2681 
   00018    0.3216   -7104.7101  0.2664 
   00019    0.3208   -7183.4052  0.2624 
   00020    0.3112   -7251.6793  0.2646 
   00021    0.3112   -7301.3773  0.2640 
   00022    0.2904   -7344.1549  0.2649 
   00023    0.2496   -7392.2497  0.2611 
   00024    0.2720   -7419.2301  0.2623 
   00025    0.2776   -7461.8298  0.2640 
   00026    0.2560   -7512.2877  0.2651 
   00027    0.2736   -7564.6554  0.2667 
   00028    0.2600   -7582.0067  0.2666 
   00029    0.2816   -7587.7506  0.2655 
   00030    0.2656   -7627.2158  0.2624 
   00031    0.2440   -7680.0477  0.2619 
   00032    0.2248   -7705.3989  0.2583 
   00033    0.2416   -7738.9764  0.2553 
   00034    0.2040   -7753.3027  0.2544 
   00035    0.2440   -7801.3648  0.2590 
   00036    0.2040   -7814.7609  0.2571 
   00037    0.2024   -7832.7963  0.2596 
   00038    0.2216   -7855.1450  0.2629 
   00039    0.2168   -7881.1410  0.2666 
   00040    0.2304   -7917.5007  0.2665 
   00041    0.2192   -7943.2918  0.2665 
   00042    0.2120   -7965.6583  0.2696 
   00043    0.2616   -7993.5504  0.2694 
   00044    0.2136   -8016.9547  0.2662 
   00045    0.1536   -8040.0048  0.2639 
   00046    0.1992   -8081.2579  0.2661 
   00047    0.1960   -8117.0222  0.2632 
   00048    0.1856   -8120.3316  0.2642 
   00049    0.1832   -8138.8534  0.2676 
   00050    0.1520   -8152.8095  0.2651 
   00051    0.2128   -8153.2814  0.2644 
   00052    0.1712   -8163.1638  0.2651 
   00053    0.1728   -8167.8103  0.2620 
   00054    0.1768   -8176.6713  0.2614 
   00055    0.1864   -8181.9185  0.2619 
   00056    0.2120   -8177.2143  0.2644 
   00057    0.1800   -8205.1147  0.2636 
   00058    0.1656   -8217.3376  0.2637 
   00059    0.1696   -8220.7503  0.2606 
   00060    0.1640   -8226.1228  0.2624 
   00061    0.1576   -8238.8299  0.2627 
   00062    0.2080   -8249.7037  0.2620 
   00063    0.1928   -8267.1878  0.2629 
   00064    0.1616   -8259.8467  0.2645 
   00065    0.1656   -8263.0646  0.2615 
   00066    0.1912   -8281.8406  0.2626 
   00067    0.1560   -8321.5815  0.2628 
   00068    0.1792   -8337.6763  0.2593 
   00069    0.1624   -8347.2710  0.2603 
   00070    0.1552   -8334.8571  0.2596 
   00071    0.1640   -8345.0812  0.2588 
   00072    0.1704   -8356.5374  0.2581 
   00073    0.1856   -8367.2928  0.2546 
   00074    0.1480   -8392.6692  0.2535 
   00075    0.1408   -8394.0555  0.2504 
   00076    0.1312   -8388.3815  0.2514 
   00077    0.1344   -8392.3775  0.2547 
   00078    0.1952   -8412.3558  0.2557 
   00079    0.1816   -8407.0970  0.2535 
   00080    0.1568   -8415.7228  0.2562 
   00081    0.1632   -8419.9361  0.2535 
   00082    0.1672   -8436.4395  0.2512 
   00083    0.1648   -8437.9930  0.2530 
   00084    0.1416   -8430.4999  0.2540 
   00085    0.1336   -8432.6073  0.2555 
   00086    0.1728   -8455.0965  0.2561 
   00087    0.1328   -8460.7240  0.2580 
   00088    0.1488   -8473.6108  0.2587 
   00089    0.1424   -8493.5183  0.2577 
   00090    0.1568   -8496.1078  0.2567 
   00091    0.1296   -8515.6023  0.2551 
   00092    0.1592   -8538.9037  0.2546 
   00093    0.1152   -8553.6109  0.2543 
   00094    0.1528   -8569.1469  0.2533 
   00095    0.1656   -8571.5473  0.2554 
   00096    0.1536   -8568.8017  0.2529 
   00097    0.1200   -8578.4525  0.2523 
   00098    0.1288   -8570.9388  0.2517 
   00099    0.1328   -8587.6429  0.2521 
   00100    0.1312   -8591.2462  0.2532 
   00101    0.1264   -8586.6358  0.2528 
   00102    0.1272   -8596.9053  0.2549 
   00103    0.1272   -8588.2114  0.2549 
   00104    0.1384   -8584.8093  0.2537 
   00105    0.1496   -8585.7775  0.2538 
   00106    0.1624   -8582.8584  0.2545 
   00107    0.1368   -8604.8890  0.2547 
   00108    0.1504   -8613.2291  0.2565 
   00109    0.1216   -8610.4510  0.2566 
   00110    0.1464   -8624.7585  0.2553 
   00111    0.1376   -8636.5717  0.2564 
   00112    0.1232   -8650.9899  0.2545 
   00113    0.1320   -8658.9958  0.2568 
   00114    0.1248   -8650.5928  0.2576 
   00115    0.1240   -8665.9775  0.2537 
   00116    0.1104   -8665.4319  0.2536 
   00117    0.1480   -8670.9842  0.2539 
   00118    0.1144   -8682.7636  0.2548 
   00119    0.1304   -8695.1434  0.2544 
   00120    0.1104   -8703.6598  0.2572 
   00121    0.0920   -8714.1758  0.2581 
   00122    0.1544   -8721.8854  0.2547 
   00123    0.1448   -8724.9899  0.2552 
   00124    0.1048   -8730.0205  0.2561 
   00125    0.1144   -8734.8359  0.2582 
   00126    0.0968   -8744.4884  0.2599 
   00127    0.1304   -8762.9340  0.2615 
   00128    0.1184   -8761.6946  0.2601 
   00129    0.1096   -8769.8550  0.2598 
   00130    0.1024   -8772.8572  0.2603 
   00131    0.1328   -8766.9786  0.2618 
   00132    0.0944   -8768.6321  0.2611 
   00133    0.1208   -8779.6195  0.2580 
   00134    0.1136   -8783.7817  0.2575 
   00135    0.1120   -8780.0155  0.2581 
   00136    0.1088   -8767.6744  0.2587 
   00137    0.1352   -8769.9972  0.2586 
   00138    0.1240   -8775.2755  0.2603 
