#=====================================================
# File created:        Fri-15-Mar-2024-at-01-06-20AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.276699
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2524.3429  0.2696 
   00001    0.6828   -3668.3150  0.2697 
   00002    0.6108   -4453.8040  0.2869 
   00003    0.5960   -5043.9177  0.2902 
   00004    0.5616   -5523.9715  0.2931 
   00005    0.5424   -5872.8504  0.3005 
   00006    0.5104   -6212.9133  0.3098 
   00007    0.4892   -6450.7020  0.3088 
   00008    0.4944   -6628.1786  0.3035 
   00009    0.4884   -6754.1628  0.3110 
   00010    0.4700   -6903.7800  0.3203 
   00011    0.4704   -7003.7699  0.3270 
   00012    0.4748   -7108.3094  0.3329 
   00013    0.4624   -7180.5553  0.3282 
   00014    0.4692   -7286.8849  0.3242 
   00015    0.4524   -7344.0699  0.3331 
   00016    0.4540   -7431.0917  0.3309 
   00017    0.4708   -7466.1239  0.3348 
   00018    0.4488   -7584.2433  0.3354 
   00019    0.4540   -7612.8089  0.3371 
   00020    0.4480   -7638.2390  0.3501 
   00021    0.4532   -7653.3759  0.3507 
   00022    0.4416   -7661.6846  0.3548 
   00023    0.4484   -7740.1990  0.3608 
   00024    0.4424   -7764.8153  0.3607 
   00025    0.4416   -7797.8472  0.3569 
   00026    0.4384   -7836.5497  0.3597 
   00027    0.4476   -7859.5424  0.3661 
   00028    0.4280   -7849.4545  0.3707 
   00029    0.4592   -7828.4147  0.3697 
   00030    0.4340   -7834.7366  0.3789 
   00031    0.4260   -7862.0015  0.3758 
   00032    0.4336   -7902.3254  0.3764 
   00033    0.4308   -7955.2979  0.3889 
   00034    0.4464   -7938.9592  0.3944 
   00035    0.4360   -7999.8882  0.3985 
   00036    0.4116   -8013.0194  0.3941 
   00037    0.4264   -8037.8078  0.3996 
   00038    0.4260   -8074.0282  0.4013 
   00039    0.4300   -8090.0744  0.4010 
   00040    0.4264   -8117.3891  0.4008 
   00041    0.4416   -8110.9413  0.3999 
   00042    0.4304   -8059.5035  0.3994 
   00043    0.4500   -8083.7693  0.4015 
   00044    0.4476   -8026.8834  0.4029 
   00045    0.4236   -8082.0323  0.4041 
   00046    0.4188   -8098.5873  0.4086 
   00047    0.4208   -8154.5376  0.4042 
   00048    0.4332   -8149.8173  0.4003 
   00049    0.4272   -8194.9654  0.4094 
   00050    0.4228   -8202.5191  0.4050 
