#=====================================================
# File created:        Fri-15-Mar-2024-at-01-06-42AM
# Size of lattice:     50x50
# Number of MC steps:  75
# Reduced temperature: 0.500
# Run time (s):        0.420746
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2507.2224  0.2678 
   00001    0.6744   -3697.3240  0.2680 
   00002    0.6240   -4430.8151  0.2739 
   00003    0.6020   -5002.0215  0.2720 
   00004    0.5656   -5467.9401  0.2753 
   00005    0.5260   -5803.2601  0.2684 
   00006    0.5260   -6101.6474  0.2760 
   00007    0.5060   -6364.2338  0.2899 
   00008    0.5040   -6529.7885  0.2885 
   00009    0.4924   -6715.7830  0.2987 
   00010    0.4676   -6858.0647  0.3032 
   00011    0.4868   -6984.9992  0.3013 
   00012    0.4716   -7080.1324  0.3057 
   00013    0.4712   -7214.2435  0.3172 
   00014    0.4568   -7262.9995  0.3246 
   00015    0.4772   -7357.0652  0.3314 
   00016    0.4380   -7469.3548  0.3361 
   00017    0.4572   -7516.7379  0.3384 
   00018    0.4484   -7547.0846  0.3388 
   00019    0.4452   -7569.8588  0.3318 
   00020    0.4440   -7560.1319  0.3300 
   00021    0.4508   -7584.4765  0.3351 
   00022    0.4324   -7601.8474  0.3397 
   00023    0.4568   -7649.8787  0.3497 
   00024    0.4508   -7657.2661  0.3488 
   00025    0.4616   -7697.4780  0.3556 
   00026    0.4368   -7728.9421  0.3509 
   00027    0.4244   -7764.0157  0.3566 
   00028    0.4376   -7751.3730  0.3600 
   00029    0.4368   -7755.6230  0.3637 
   00030    0.4464   -7790.0943  0.3660 
   00031    0.4476   -7803.3912  0.3676 
   00032    0.4296   -7763.3466  0.3651 
   00033    0.4284   -7779.2177  0.3657 
   00034    0.4536   -7807.4330  0.3672 
   00035    0.4388   -7870.2821  0.3735 
   00036    0.4396   -7869.3438  0.3695 
   00037    0.4240   -7877.7578  0.3690 
   00038    0.4244   -7903.2717  0.3665 
   00039    0.4352   -7896.3474  0.3654 
   00040    0.4336   -7900.5694  0.3681 
   00041    0.4312   -7871.2766  0.3730 
   00042    0.4492   -7921.4835  0.3765 
   00043    0.4424   -7926.4621  0.3783 
   00044    0.4204   -7911.0824  0.3750 
   00045    0.4336   -7961.5821  0.3774 
   00046    0.4312   -8000.1201  0.3822 
   00047    0.4304   -8011.8452  0.3826 
   00048    0.4228   -8065.0551  0.3961 
   00049    0.4260   -8062.6807  0.4000 
   00050    0.4352   -7997.4041  0.4003 
   00051    0.4288   -7992.5869  0.4053 
   00052    0.4276   -7995.8961  0.4012 
   00053    0.4232   -7985.8499  0.4011 
   00054    0.4336   -7970.8631  0.4070 
   00055    0.4224   -8043.2988  0.4169 
   00056    0.4404   -8093.3616  0.4243 
   00057    0.4404   -8076.1970  0.4272 
   00058    0.4256   -8122.4160  0.4294 
   00059    0.4184   -8118.7050  0.4302 
   00060    0.4208   -8175.4169  0.4315 
   00061    0.4012   -8193.3596  0.4268 
   00062    0.4248   -8170.1673  0.4316 
   00063    0.4192   -8186.9294  0.4365 
   00064    0.4212   -8164.0665  0.4351 
   00065    0.4496   -8176.9605  0.4349 
   00066    0.4416   -8204.0030  0.4347 
   00067    0.4176   -8183.4816  0.4391 
   00068    0.4132   -8241.5675  0.4309 
   00069    0.4228   -8179.0752  0.4288 
   00070    0.4380   -8168.1919  0.4280 
   00071    0.4252   -8176.4448  0.4246 
   00072    0.4292   -8091.8058  0.4225 
   00073    0.4208   -8144.6366  0.4324 
   00074    0.4080   -8119.3193  0.4299 
   00075    0.4252   -8104.8515  0.4361 
