#=====================================================
# File created:        Fri-15-Mar-2024-at-01-06-06AM
# Size of lattice:     50x50
# Number of MC steps:  25
# Reduced temperature: 0.500
# Run time (s):        0.133767
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2385.2792  0.2685 
   00001    0.6872   -3672.4277  0.2694 
   00002    0.6336   -4496.1688  0.2631 
   00003    0.5884   -5088.4165  0.2607 
   00004    0.5604   -5538.0308  0.2628 
   00005    0.5248   -5894.3424  0.2693 
   00006    0.5192   -6180.8261  0.2701 
   00007    0.5064   -6412.0520  0.2667 
   00008    0.4820   -6596.0651  0.2787 
   00009    0.4864   -6776.4576  0.2760 
   00010    0.4704   -6913.3472  0.2844 
   00011    0.4720   -7067.7724  0.2918 
   00012    0.4496   -7162.8492  0.2953 
   00013    0.4648   -7190.0542  0.3009 
   00014    0.4676   -7259.0892  0.3098 
   00015    0.4656   -7340.1810  0.3034 
   00016    0.4396   -7377.9054  0.3066 
   00017    0.4572   -7401.7858  0.3115 
   00018    0.4588   -7485.1446  0.3108 
   00019    0.4628   -7503.9661  0.3084 
   00020    0.4452   -7583.0060  0.3103 
   00021    0.4360   -7604.8460  0.3101 
   00022    0.4328   -7612.1276  0.3048 
   00023    0.4500   -7673.8737  0.3049 
   00024    0.4536   -7677.0428  0.3093 
   00025    0.4628   -7687.0303  0.3030 
