#=====================================================
# File created:        Fri-15-Mar-2024-at-12-53-16AM
# Size of lattice:     50x50
# Number of MC steps:  25
# Reduced temperature: 0.500
# Run time (s):        1.165660
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2464.4840  0.2640 
   00001    0.6784   -3722.2080  0.2724 
   00002    0.6240   -4635.7742  0.2758 
   00003    0.5824   -5198.6312  0.2826 
   00004    0.5536   -5604.5493  0.2878 
   00005    0.5220   -5895.1345  0.2897 
   00006    0.5288   -6132.7805  0.2909 
   00007    0.5240   -6287.0000  0.2911 
   00008    0.5180   -6506.6098  0.2950 
   00009    0.4924   -6676.9780  0.2907 
   00010    0.4824   -6759.8954  0.2875 
   00011    0.4676   -6915.9972  0.2890 
   00012    0.4712   -7057.8278  0.2898 
   00013    0.4688   -7167.8176  0.2871 
   00014    0.4728   -7310.5484  0.2877 
   00015    0.4508   -7370.3914  0.2877 
   00016    0.4572   -7409.4997  0.2926 
   00017    0.4476   -7478.7126  0.2926 
   00018    0.4708   -7493.2837  0.2972 
   00019    0.4376   -7530.8149  0.3010 
   00020    0.4408   -7616.8088  0.3005 
   00021    0.4212   -7619.4327  0.3059 
   00022    0.4716   -7656.8488  0.3045 
   00023    0.4492   -7682.5473  0.3034 
   00024    0.4376   -7699.7509  0.2969 
   00025    0.4204   -7720.9867  0.2928 
