#=====================================================
# File created:        Fri-15-Mar-2024-at-01-13-30AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.316639
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
 00000 0.5000   -2476.7495 0.2703 
 00001 0.6632   -3677.5532 0.2766 
 00002 0.6252   -4524.7031 0.2789 
 00003 0.5768   -5101.1028 0.2932 
 00004 0.5572   -5576.0810 0.3001 
 00005 0.5368   -5915.8279 0.3134 
 00006 0.5032   -6197.2396 0.3229 
 00007 0.5124   -6379.9725 0.3361 
 00008 0.4952   -6554.8712 0.3347 
 00009 0.4984   -6753.7648 0.3433 
 00010 0.4812   -6812.2906 0.3324 
 00011 0.4712   -6977.0754 0.3290 
 00012 0.4776   -7090.2682 0.3272 
 00013 0.4500   -7240.5633 0.3350 
 00014 0.4472   -7378.6452 0.3480 
 00015 0.4464   -7425.4202 0.3531 
 00016 0.4624   -7461.7216 0.3595 
 00017 0.4520   -7518.8753 0.3567 
 00018 0.4560   -7541.5493 0.3579 
 00019 0.4436   -7642.7041 0.3610 
 00020 0.4548   -7616.5004 0.3621 
 00021 0.4344   -7695.2847 0.3647 
 00022 0.4308   -7706.6730 0.3615 
 00023 0.4436   -7803.8883 0.3692 
 00024 0.4204   -7815.9436 0.3701 
 00025 0.4476   -7853.3020 0.3751 
 00026 0.4468   -7821.1123 0.3738 
 00027 0.4364   -7842.6852 0.3773 
 00028 0.4352   -7893.8312 0.3785 
 00029 0.4316   -7903.4804 0.3766 
 00030 0.4388   -7953.2192 0.3819 
 00031 0.4384   -7933.5174 0.3793 
 00032 0.4444   -7999.2057 0.3885 
 00033 0.4240   -8052.9526 0.3893 
 00034 0.4344   -8052.8790 0.3923 
 00035 0.4208   -8050.1525 0.3895 
 00036 0.4300   -8023.4588 0.3906 
 00037 0.4208   -8060.8316 0.3868 
 00038 0.4304   -8110.5738 0.3881 
 00039 0.4500   -8137.2406 0.3999 
 00040 0.4328   -8090.7526 0.3954 
 00041 0.4172   -8096.1661 0.3917 
 00042 0.4368   -8117.5475 0.3892 
 00043 0.4172   -8099.0649 0.3857 
 00044 0.4168   -8090.4363 0.3874 
 00045 0.4248   -8043.0685 0.3919 
 00046 0.4456   -8097.7203 0.4062 
 00047 0.4188   -8075.0326 0.3982 
 00048 0.4232   -8096.4313 0.3938 
 00049 0.4172   -8117.2921 0.3887 
 00050 0.4276   -8154.8628 0.3904 
