#=====================================================
# File created:        Fri-15-Mar-2024-at-12-55-33AM
# Size of lattice:     50x50
# Number of MC steps:  175
# Reduced temperature: 0.500
# Run time (s):        8.208729
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2587.5626  0.2585 
   00001    0.6768   -3775.2002  0.2640 
   00002    0.6324   -4493.7164  0.2700 
   00003    0.5956   -5010.3258  0.2792 
   00004    0.5600   -5411.8560  0.2892 
   00005    0.5476   -5844.9394  0.2952 
   00006    0.5428   -6133.2378  0.3002 
   00007    0.5144   -6348.1602  0.3066 
   00008    0.4944   -6544.2299  0.3055 
   00009    0.4916   -6640.2152  0.3056 
   00010    0.4892   -6821.0838  0.3143 
   00011    0.4632   -6952.9099  0.3176 
   00012    0.4796   -7037.4293  0.3126 
   00013    0.4708   -7098.9301  0.3127 
   00014    0.4612   -7148.4778  0.3108 
   00015    0.4648   -7229.7374  0.3158 
   00016    0.4780   -7363.4787  0.3155 
   00017    0.4564   -7381.5188  0.3201 
   00018    0.4520   -7376.0963  0.3255 
   00019    0.4680   -7460.6982  0.3278 
   00020    0.4676   -7511.6624  0.3320 
   00021    0.4544   -7530.4459  0.3252 
   00022    0.4504   -7573.5941  0.3341 
   00023    0.4520   -7629.5268  0.3331 
   00024    0.4320   -7687.2065  0.3349 
   00025    0.4472   -7792.6555  0.3319 
   00026    0.4312   -7832.6651  0.3331 
   00027    0.4412   -7847.7005  0.3360 
   00028    0.4420   -7889.9437  0.3356 
   00029    0.4316   -7860.8811  0.3379 
   00030    0.4352   -7862.1279  0.3380 
   00031    0.4460   -7923.7209  0.3353 
   00032    0.4376   -7942.5788  0.3280 
   00033    0.4336   -7971.9408  0.3274 
   00034    0.4432   -7946.0440  0.3195 
   00035    0.4396   -7969.6611  0.3226 
   00036    0.4376   -7967.8959  0.3257 
   00037    0.4268   -7983.3092  0.3288 
   00038    0.4384   -7997.6902  0.3314 
   00039    0.4356   -8052.6935  0.3319 
   00040    0.4280   -8061.5632  0.3397 
   00041    0.4336   -8067.9183  0.3439 
   00042    0.4364   -8054.3287  0.3494 
   00043    0.4268   -8091.4445  0.3525 
   00044    0.4272   -8052.4131  0.3539 
   00045    0.4088   -8096.8327  0.3642 
   00046    0.4164   -8126.6367  0.3681 
   00047    0.4172   -8142.5871  0.3654 
   00048    0.4036   -8180.4598  0.3697 
   00049    0.4232   -8169.0722  0.3710 
   00050    0.4340   -8166.4192  0.3707 
   00051    0.4200   -8145.2955  0.3692 
   00052    0.4104   -8162.9906  0.3726 
   00053    0.4180   -8191.3217  0.3767 
   00054    0.4248   -8180.4455  0.3742 
   00055    0.4092   -8170.1657  0.3672 
   00056    0.4280   -8176.9013  0.3645 
   00057    0.4216   -8201.8370  0.3648 
   00058    0.4296   -8208.9315  0.3660 
   00059    0.4176   -8195.7920  0.3696 
   00060    0.4144   -8194.0790  0.3688 
   00061    0.4200   -8227.6828  0.3644 
   00062    0.4380   -8236.4067  0.3714 
   00063    0.4352   -8278.9461  0.3688 
   00064    0.4284   -8271.1062  0.3735 
   00065    0.4280   -8292.0783  0.3758 
   00066    0.4236   -8253.0663  0.3776 
   00067    0.4300   -8280.2948  0.3838 
   00068    0.4136   -8283.6350  0.3824 
   00069    0.4152   -8248.7843  0.3801 
   00070    0.4276   -8280.4589  0.3873 
   00071    0.4100   -8269.4200  0.3837 
   00072    0.4132   -8295.2957  0.3782 
   00073    0.3972   -8277.4158  0.3744 
   00074    0.4328   -8267.9532  0.3774 
   00075    0.4104   -8284.2062  0.3817 
   00076    0.4116   -8276.1727  0.3816 
   00077    0.4144   -8270.6508  0.3873 
   00078    0.4308   -8211.4950  0.3874 
   00079    0.4192   -8226.3478  0.3869 
   00080    0.4324   -8185.5632  0.3819 
   00081    0.4340   -8174.9200  0.3809 
   00082    0.4300   -8193.1192  0.3875 
   00083    0.4264   -8196.3730  0.3882 
   00084    0.4128   -8241.9714  0.3896 
   00085    0.4104   -8255.9383  0.3893 
   00086    0.4108   -8201.3637  0.3857 
   00087    0.4172   -8235.0367  0.3771 
   00088    0.4216   -8233.1859  0.3736 
   00089    0.4188   -8238.6363  0.3786 
   00090    0.4348   -8267.4905  0.3819 
   00091    0.4280   -8301.1443  0.3855 
   00092    0.4268   -8254.0877  0.3832 
   00093    0.4352   -8219.4625  0.3838 
   00094    0.4348   -8247.0390  0.3869 
   00095    0.4104   -8228.4465  0.3949 
   00096    0.4164   -8233.6448  0.3941 
   00097    0.4216   -8220.7276  0.3897 
   00098    0.4224   -8284.4926  0.3858 
   00099    0.4132   -8286.9453  0.3884 
   00100    0.4212   -8311.9295  0.3864 
   00101    0.4216   -8369.4564  0.3830 
   00102    0.4100   -8359.0956  0.3846 
   00103    0.4172   -8313.8459  0.3866 
   00104    0.4044   -8339.7074  0.3792 
   00105    0.4176   -8295.1121  0.3816 
   00106    0.4256   -8240.0242  0.3748 
   00107    0.4236   -8265.9603  0.3760 
   00108    0.4168   -8299.3321  0.3774 
   00109    0.4372   -8311.5349  0.3787 
   00110    0.4248   -8352.2012  0.3800 
   00111    0.4112   -8320.6560  0.3826 
   00112    0.4052   -8347.4575  0.3813 
   00113    0.4268   -8319.2406  0.3831 
   00114    0.4236   -8348.2809  0.3881 
   00115    0.4280   -8321.3578  0.3890 
   00116    0.3932   -8325.0574  0.3932 
   00117    0.4268   -8296.4838  0.3925 
   00118    0.4164   -8310.1688  0.3941 
   00119    0.4028   -8285.5889  0.3951 
   00120    0.4320   -8243.4358  0.3944 
   00121    0.4036   -8210.2700  0.3953 
   00122    0.4264   -8224.7648  0.3939 
   00123    0.4208   -8227.6635  0.3938 
   00124    0.4180   -8278.2111  0.3941 
   00125    0.4228   -8302.1945  0.3900 
   00126    0.4124   -8324.7437  0.3862 
   00127    0.3928   -8331.1407  0.3863 
   00128    0.4096   -8339.7935  0.3946 
   00129    0.4068   -8346.2613  0.3947 
   00130    0.4172   -8286.1744  0.3939 
   00131    0.4008   -8268.6132  0.3882 
   00132    0.4308   -8212.9655  0.3902 
   00133    0.4288   -8258.1233  0.3909 
   00134    0.4348   -8244.8247  0.3983 
   00135    0.4036   -8279.2900  0.3952 
   00136    0.4132   -8239.1828  0.4025 
   00137    0.4168   -8258.4659  0.4016 
   00138    0.4232   -8271.0055  0.3955 
   00139    0.4252   -8274.9584  0.3886 
   00140    0.4324   -8272.2756  0.3841 
   00141    0.4252   -8274.1561  0.3868 
   00142    0.4120   -8308.6474  0.3821 
   00143    0.4036   -8342.2649  0.3890 
   00144    0.4044   -8373.8375  0.3924 
   00145    0.4292   -8364.4615  0.4005 
   00146    0.4220   -8372.0119  0.4024 
   00147    0.4108   -8372.8090  0.3981 
   00148    0.4308   -8404.9216  0.3984 
   00149    0.4228   -8383.2991  0.3998 
   00150    0.4116   -8369.4749  0.4006 
   00151    0.4032   -8323.9603  0.3988 
   00152    0.4160   -8345.3835  0.3991 
   00153    0.4236   -8335.5111  0.3890 
   00154    0.4088   -8364.2753  0.3963 
   00155    0.4212   -8343.9137  0.3980 
   00156    0.4300   -8356.2869  0.3983 
   00157    0.4044   -8389.3925  0.3914 
   00158    0.4184   -8356.0941  0.3999 
   00159    0.4136   -8371.0325  0.4018 
   00160    0.4280   -8339.6645  0.4012 
   00161    0.4348   -8319.1646  0.3962 
   00162    0.4312   -8307.5046  0.4045 
   00163    0.4316   -8343.2848  0.4066 
   00164    0.4228   -8308.5688  0.4092 
   00165    0.4168   -8322.1367  0.4074 
   00166    0.4328   -8344.6249  0.4096 
   00167    0.4180   -8366.8241  0.4158 
   00168    0.4228   -8417.7854  0.4185 
   00169    0.3988   -8442.8185  0.4115 
   00170    0.4124   -8425.0809  0.4094 
   00171    0.4156   -8458.8623  0.4096 
   00172    0.4216   -8438.8015  0.4095 
   00173    0.4308   -8426.0691  0.4132 
   00174    0.4044   -8385.7743  0.4096 
   00175    0.4368   -8399.7592  0.4130 
