#=====================================================
# File created:        Fri-15-Mar-2024-at-12-59-43AM
# Size of lattice:     50x50
# Number of MC steps:  175
# Reduced temperature: 0.500
# Run time (s):        2.325802
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2453.8337  0.2620 
   00001    1.0136   -3372.2023  0.2728 
   00002    0.8456   -3973.2920  0.2760 
   00003    0.7592   -4488.4436  0.2726 
   00004    0.6600   -4843.7680  0.2790 
   00005    0.6464   -5171.9902  0.2837 
   00006    0.5584   -5460.1010  0.2860 
   00007    0.4672   -5694.9706  0.2855 
   00008    0.4520   -5848.7361  0.2859 
   00009    0.4528   -6008.6530  0.2906 
   00010    0.4328   -6162.2066  0.2920 
   00011    0.4408   -6308.6159  0.2950 
   00012    0.3624   -6429.8882  0.2971 
   00013    0.4160   -6567.3569  0.2975 
   00014    0.3560   -6689.9643  0.2985 
   00015    0.3760   -6793.3654  0.2999 
   00016    0.2832   -6850.2143  0.2991 
   00017    0.3560   -6952.9949  0.2996 
   00018    0.3016   -7008.3721  0.2984 
   00019    0.3288   -7098.7109  0.2992 
   00020    0.3384   -7187.1316  0.2967 
   00021    0.3136   -7229.8886  0.3013 
   00022    0.2616   -7283.9723  0.3101 
   00023    0.2544   -7336.1804  0.3111 
   00024    0.2576   -7398.8506  0.3111 
   00025    0.2824   -7416.3358  0.3108 
   00026    0.2944   -7446.8309  0.3118 
   00027    0.2592   -7498.0171  0.3141 
   00028    0.2472   -7547.2462  0.3127 
   00029    0.2480   -7580.8350  0.3129 
   00030    0.2512   -7629.9586  0.3152 
   00031    0.2288   -7676.4611  0.3180 
   00032    0.2816   -7725.8525  0.3209 
   00033    0.2464   -7764.6844  0.3242 
   00034    0.2384   -7794.5718  0.3236 
   00035    0.2312   -7786.8496  0.3234 
   00036    0.2440   -7810.2312  0.3219 
   00037    0.2440   -7839.3861  0.3213 
   00038    0.2224   -7848.4025  0.3233 
   00039    0.2184   -7870.2012  0.3246 
   00040    0.2048   -7904.6392  0.3210 
   00041    0.2032   -7941.8546  0.3213 
   00042    0.1928   -7996.2966  0.3235 
   00043    0.2096   -8027.4262  0.3238 
   00044    0.2016   -8059.9616  0.3223 
   00045    0.1704   -8083.4375  0.3247 
   00046    0.1656   -8084.2516  0.3252 
   00047    0.2192   -8119.8748  0.3254 
   00048    0.1832   -8138.1031  0.3255 
   00049    0.1520   -8161.9943  0.3248 
   00050    0.1480   -8165.0165  0.3248 
   00051    0.1920   -8200.7080  0.3260 
   00052    0.1712   -8217.5988  0.3285 
   00053    0.1552   -8204.4505  0.3271 
   00054    0.1936   -8238.7877  0.3271 
   00055    0.1752   -8253.8515  0.3257 
   00056    0.1768   -8279.1924  0.3261 
   00057    0.1744   -8305.1794  0.3242 
   00058    0.1832   -8339.7389  0.3282 
   00059    0.1592   -8366.6271  0.3271 
