#=====================================================
# File created:        Fri-15-Mar-2024-at-01-12-25AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.297563
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
 00000 0.5000   -2394.4241 0.2560 
 00001 0.6744   -3772.9408 0.2717 
 00002 0.6088   -4550.7677 0.2656 
 00003 0.5500   -5154.3531 0.2753 
 00004 0.5536   -5699.0772 0.2988 
 00005 0.5228   -6014.7671 0.3098 
 00006 0.5132   -6273.6760 0.3088 
 00007 0.5108   -6524.3450 0.3074 
 00008 0.4820   -6643.0446 0.3106 
 00009 0.4688   -6825.0817 0.3192 
 00010 0.4836   -6931.7354 0.3138 
 00011 0.4892   -7087.8877 0.3237 
 00012 0.4660   -7180.0587 0.3262 
 00013 0.4532   -7213.1736 0.3316 
 00014 0.4688   -7305.7942 0.3395 
 00015 0.4588   -7464.8231 0.3384 
 00016 0.4320   -7513.9583 0.3406 
 00017 0.4452   -7610.1455 0.3466 
 00018 0.4524   -7655.9168 0.3453 
 00019 0.4328   -7656.5426 0.3456 
 00020 0.4460   -7663.6154 0.3488 
 00021 0.4492   -7714.8466 0.3600 
 00022 0.4372   -7746.4328 0.3622 
 00023 0.4540   -7744.0067 0.3713 
 00024 0.4288   -7787.4677 0.3775 
 00025 0.4276   -7823.9298 0.3845 
 00026 0.4572   -7855.3644 0.3972 
 00027 0.4376   -7878.3258 0.3974 
 00028 0.4484   -7922.9060 0.3969 
 00029 0.4340   -7942.6369 0.4059 
 00030 0.4384   -7971.3523 0.4103 
 00031 0.4376   -7975.8583 0.4116 
 00032 0.4324   -7979.9108 0.4094 
 00033 0.4468   -8008.2937 0.4133 
 00034 0.4152   -8048.0240 0.4142 
 00035 0.4236   -8034.8295 0.4099 
 00036 0.4268   -8082.7052 0.4068 
 00037 0.4116   -8050.7222 0.4059 
 00038 0.4116   -8060.0482 0.4121 
 00039 0.4200   -8037.7476 0.4114 
 00040 0.4292   -8092.9437 0.4199 
 00041 0.4284   -8116.3104 0.4220 
 00042 0.4232   -8090.3187 0.4173 
 00043 0.4388   -8082.3212 0.4205 
 00044 0.4256   -8083.7027 0.4248 
 00045 0.4328   -8065.6888 0.4300 
 00046 0.4356   -8072.0618 0.4363 
 00047 0.4320   -8102.5535 0.4395 
 00048 0.4280   -8079.7047 0.4397 
 00049 0.4232   -8066.1458 0.4337 
 00050 0.4232   -8080.1425 0.4392 
