Order_Parameter
0.2562
0.2605
0.2709
0.2762
0.2798
0.2891
0.2834
0.2969
0.3014
0.3071
0.3151
0.3263
0.3325
0.3367
0.334
0.3338
0.3331
0.3391
0.3419
0.3442
0.3559
0.3554
0.363
0.3598
0.3605
0.3569
0.3472
0.3408
0.3441
0.3395
0.3445
0.3447
0.3441
0.349
0.3563
0.3592
0.363
0.368
0.3687
0.3741
0.3761
0.3746
0.3703
0.3733
0.3735
0.3771
0.3747
0.3727
0.3705
0.3732
0.3722
0.2729
0.2709
0.2599
0.2606
0.2533
0.256
0.2582
0.2636
0.2637
0.2638
0.2613
0.2648
0.2673
0.2646
0.2671
0.2702
0.2707
0.2716
0.2762
0.2738
0.2776
0.2818
0.2855
0.2832
0.2838
0.283
0.28
0.2806
0.2783
0.277
0.2785
0.2796
0.2801
0.2831
0.2855
0.2856
0.287
0.2882
0.2864
0.289
0.2868
0.2888
0.2868
0.2867
0.2852
0.2881
0.2879
0.2882
0.2894
0.2928
0.2946
0.2542
0.2529
0.2531
0.2557
0.2538
0.259
0.2623
0.2668
0.2644
0.2629
0.2607
0.2616
0.261
0.2583
0.2596
0.2606
0.262
0.2612
0.2619
0.2611
0.2612
0.2614
0.2604
0.2605
0.259
0.2596
0.2588
0.2576
0.2575
0.2563
0.2553
0.2555
0.2559
0.2555
0.2557
0.2567
0.2566
0.2566
0.2563
0.2559
0.2564
0.256
0.2568
0.2567
0.2566
0.2576
0.2589
0.2599
0.2606
0.2613
0.2623
0.2718
0.2686
0.2714
0.2764
0.2791
0.2842
0.2875
0.2814
0.2857
0.2836
0.2863
0.2803
0.2801
0.2861
0.2837
0.2893
0.2878
0.2845
0.2955
0.2984
0.3062
0.3112
0.3155
0.313
0.3126
0.3091
0.3115
0.307
0.3103
0.3095
0.3118
0.305
0.3073
0.3039
0.3042
0.3077
0.3159
0.3187
0.3128
0.31
0.3107
0.3094
0.3116
0.309
0.3135
0.3092
0.3169
0.3202
0.3243
0.3223
0.3197
0.2716
0.2706
0.2657
0.2725
0.2721
0.2699
0.2679
0.255
0.256
0.2694
0.2652
0.2629
0.2565
0.2537
0.2595
0.2627
0.2654
0.2618
0.2681
0.2699
0.2768
0.2749
0.277
0.2823
0.2822
0.2854
0.2919
0.2914
0.3003
0.3102
0.3151
0.3198
0.3162
0.3145
0.3219
0.3119
0.3148
0.3239
0.3269
0.3295
0.3311
0.3365
0.3407
0.3445
0.3468
0.3427
0.3424
0.3524
0.3554
0.357
0.3588
0.2628
0.2651
0.2751
0.2831
0.2842
0.2882
0.2933
0.2954
0.2917
0.3013
0.2975
0.2975
0.304
0.3128
0.3107
0.3008
0.3013
0.3022
0.3004
0.3008
0.2979
0.3053
0.3105
0.3086
0.3172
0.3133
0.3128
0.3177
0.3164
0.3139
0.314
0.3099
0.3091
0.3114
0.3084
0.3144
0.3178
0.3284
0.3211
0.3247
0.3334
0.3366
0.3392
0.3408
0.343
0.3417
0.3467
0.345
0.3503
0.3547
0.3548
