#=====================================================
# File created:        Fri-15-Mar-2024-at-12-58-30AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.661884
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2579.0045  0.2664 
   00001    1.0064   -3407.2382  0.2600 
   00002    0.7944   -3973.8581  0.2568 
   00003    0.7672   -4424.5884  0.2706 
   00004    0.7240   -4775.9969  0.2660 
   00005    0.6000   -5134.2741  0.2712 
   00006    0.5640   -5386.7018  0.2729 
   00007    0.4968   -5581.6880  0.2782 
   00008    0.5352   -5814.0671  0.2805 
   00009    0.4560   -6021.7626  0.2811 
   00010    0.4528   -6168.2465  0.2840 
   00011    0.3984   -6300.3322  0.2893 
   00012    0.4088   -6401.6633  0.2940 
   00013    0.4096   -6513.6122  0.2907 
   00014    0.3464   -6606.0327  0.2913 
   00015    0.3792   -6717.3166  0.2957 
   00016    0.3488   -6864.2503  0.2967 
   00017    0.3112   -6938.1615  0.3004 
   00018    0.3368   -7029.8272  0.3078 
   00019    0.3248   -7124.8818  0.3116 
   00020    0.3184   -7206.5340  0.3123 
   00021    0.3168   -7260.7875  0.3126 
   00022    0.2888   -7305.5019  0.3139 
   00023    0.3032   -7374.6947  0.3147 
   00024    0.2904   -7418.1077  0.3102 
   00025    0.2376   -7458.3809  0.3114 
   00026    0.2488   -7497.8638  0.3100 
   00027    0.2504   -7565.5641  0.3143 
   00028    0.2424   -7597.3097  0.3149 
   00029    0.2648   -7636.2706  0.3215 
   00030    0.2704   -7678.9082  0.3231 
   00031    0.1816   -7720.5200  0.3225 
   00032    0.2352   -7783.9511  0.3238 
   00033    0.1992   -7819.1336  0.3234 
   00034    0.1752   -7856.4264  0.3235 
   00035    0.2520   -7914.7502  0.3256 
   00036    0.2048   -7929.0026  0.3240 
   00037    0.2088   -7961.4128  0.3245 
   00038    0.2096   -7975.1695  0.3238 
   00039    0.1960   -7981.6828  0.3237 
   00040    0.2104   -7999.6877  0.3237 
   00041    0.1856   -8010.3822  0.3247 
   00042    0.1976   -8058.1252  0.3248 
   00043    0.2480   -8091.7241  0.3255 
   00044    0.1976   -8107.1302  0.3266 
   00045    0.2008   -8147.7719  0.3289 
   00046    0.1720   -8145.1795  0.3301 
   00047    0.1832   -8156.7897  0.3328 
   00048    0.1840   -8166.3195  0.3352 
   00049    0.1680   -8186.8768  0.3353 
   00050    0.1768   -8218.8631  0.3367 
