#=====================================================
# File created:        Fri-15-Mar-2024-at-12-58-15AM
# Size of lattice:     50x50
# Number of MC steps:  25
# Reduced temperature: 0.500
# Run time (s):        0.325401
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2549.9789  0.2607 
   00001    1.0392   -3457.4037  0.2617 
   00002    0.8168   -4050.6900  0.2536 
   00003    0.7816   -4559.6909  0.2569 
   00004    0.6664   -4949.9639  0.2637 
   00005    0.5896   -5269.8854  0.2626 
   00006    0.5552   -5580.4817  0.2620 
   00007    0.4880   -5821.4945  0.2618 
   00008    0.4848   -6027.6685  0.2630 
   00009    0.4576   -6212.5330  0.2576 
   00010    0.4248   -6358.9809  0.2567 
   00011    0.4560   -6528.7752  0.2596 
   00012    0.3576   -6650.1509  0.2587 
   00013    0.3808   -6754.2110  0.2590 
   00014    0.3616   -6853.2043  0.2573 
   00015    0.3480   -6944.1806  0.2582 
   00016    0.2856   -7017.0354  0.2554 
   00017    0.3520   -7120.6821  0.2526 
   00018    0.3592   -7206.4328  0.2513 
   00019    0.2960   -7237.9682  0.2531 
   00020    0.2800   -7328.5711  0.2546 
   00021    0.3000   -7391.5533  0.2530 
   00022    0.2968   -7438.3775  0.2544 
   00023    0.2920   -7477.1846  0.2548 
   00024    0.2424   -7543.6878  0.2529 
   00025    0.2448   -7581.0702  0.2531 
