#=====================================================
# File created:        Fri-15-Mar-2024-at-12-56-01AM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        9.454714
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2467.8597  0.2620 
   00001    0.6608   -3634.3738  0.2660 
   00002    0.6284   -4495.4364  0.2660 
   00003    0.5952   -5105.2361  0.2780 
   00004    0.5408   -5538.5522  0.2759 
   00005    0.5324   -5931.3921  0.2862 
   00006    0.5048   -6230.8973  0.2830 
   00007    0.5120   -6433.6210  0.2839 
   00008    0.4948   -6624.6436  0.2900 
   00009    0.4908   -6761.2662  0.2899 
   00010    0.4780   -6862.9376  0.2918 
   00011    0.4564   -6997.8484  0.2970 
   00012    0.4728   -7086.8193  0.3001 
   00013    0.4612   -7152.0652  0.3055 
   00014    0.4616   -7247.4971  0.3144 
   00015    0.4584   -7294.3835  0.3189 
   00016    0.4688   -7333.6430  0.3174 
   00017    0.4572   -7392.7719  0.3227 
   00018    0.4468   -7450.2188  0.3289 
   00019    0.4680   -7442.3991  0.3336 
   00020    0.4544   -7482.9641  0.3364 
   00021    0.4404   -7495.6444  0.3382 
   00022    0.4400   -7530.6235  0.3416 
   00023    0.4540   -7566.3287  0.3446 
   00024    0.4480   -7605.2984  0.3460 
   00025    0.4308   -7646.4448  0.3530 
   00026    0.4616   -7665.7621  0.3584 
   00027    0.4392   -7681.1069  0.3560 
   00028    0.4392   -7690.6719  0.3561 
   00029    0.4384   -7710.6988  0.3601 
   00030    0.4484   -7718.0647  0.3603 
   00031    0.4568   -7740.2398  0.3699 
   00032    0.4232   -7765.8617  0.3745 
   00033    0.4356   -7775.2927  0.3754 
   00034    0.4484   -7811.5104  0.3767 
   00035    0.4284   -7791.6822  0.3790 
   00036    0.4260   -7874.3150  0.3857 
   00037    0.4252   -7863.7485  0.3928 
   00038    0.4304   -7851.4506  0.3950 
   00039    0.4472   -7859.2228  0.3947 
   00040    0.4420   -7854.6374  0.3899 
   00041    0.4328   -7859.3595  0.3967 
   00042    0.4412   -7851.8766  0.3985 
   00043    0.4456   -7836.2779  0.3978 
   00044    0.4440   -7886.0484  0.3985 
   00045    0.4312   -7929.6393  0.3968 
   00046    0.4392   -7987.8643  0.3999 
   00047    0.4260   -8012.2771  0.4018 
   00048    0.4228   -8014.8729  0.4025 
   00049    0.4320   -8033.6947  0.4004 
   00050    0.4464   -8095.2089  0.3957 
   00051    0.4172   -8069.7242  0.3917 
   00052    0.4384   -8138.1174  0.3976 
   00053    0.4284   -8145.2997  0.3940 
   00054    0.4352   -8170.4086  0.3940 
   00055    0.4224   -8200.7569  0.3967 
   00056    0.4220   -8193.4157  0.4006 
   00057    0.4312   -8163.9121  0.4023 
   00058    0.4104   -8158.2171  0.3982 
   00059    0.4216   -8221.0110  0.4009 
   00060    0.4220   -8173.4390  0.3961 
   00061    0.4280   -8153.9930  0.3948 
   00062    0.4300   -8169.2524  0.3967 
   00063    0.4172   -8116.7218  0.3958 
   00064    0.4204   -8145.0419  0.3944 
   00065    0.4304   -8154.8033  0.4023 
   00066    0.4412   -8167.4939  0.4012 
   00067    0.4160   -8202.5755  0.4066 
   00068    0.4332   -8249.0581  0.4094 
   00069    0.4316   -8208.1387  0.4056 
   00070    0.4344   -8164.0758  0.4058 
   00071    0.4292   -8171.7700  0.4114 
   00072    0.4176   -8204.7258  0.4101 
   00073    0.4260   -8210.9063  0.4092 
   00074    0.4136   -8258.6909  0.4135 
   00075    0.4196   -8291.6177  0.4142 
   00076    0.4116   -8281.5561  0.4195 
   00077    0.4260   -8290.8274  0.4195 
   00078    0.4176   -8278.8568  0.4244 
   00079    0.4072   -8291.3057  0.4239 
   00080    0.4232   -8307.7502  0.4284 
   00081    0.4288   -8294.5273  0.4283 
   00082    0.4264   -8276.5373  0.4330 
   00083    0.4344   -8260.9544  0.4327 
   00084    0.4284   -8286.4424  0.4325 
   00085    0.4304   -8267.8890  0.4266 
   00086    0.4096   -8310.6931  0.4282 
   00087    0.4064   -8301.2508  0.4255 
   00088    0.4280   -8322.5279  0.4259 
   00089    0.4212   -8337.5460  0.4264 
   00090    0.4192   -8344.1688  0.4263 
   00091    0.4164   -8347.4741  0.4267 
   00092    0.4032   -8303.7857  0.4259 
   00093    0.4120   -8309.5822  0.4272 
   00094    0.4244   -8248.9274  0.4257 
   00095    0.4268   -8275.8380  0.4293 
   00096    0.4204   -8244.7528  0.4257 
   00097    0.4356   -8305.6137  0.4232 
   00098    0.4188   -8260.3771  0.4212 
   00099    0.4164   -8235.4210  0.4277 
   00100    0.4320   -8245.7143  0.4234 
   00101    0.4092   -8236.6739  0.4256 
   00102    0.4268   -8230.7063  0.4268 
   00103    0.4200   -8215.7597  0.4250 
   00104    0.4072   -8226.7400  0.4264 
   00105    0.4152   -8241.0415  0.4256 
   00106    0.4388   -8259.3885  0.4315 
   00107    0.4220   -8243.8753  0.4297 
   00108    0.4052   -8256.3397  0.4284 
   00109    0.4208   -8256.7824  0.4233 
   00110    0.4332   -8287.7904  0.4204 
   00111    0.4392   -8232.8463  0.4218 
   00112    0.4452   -8244.5089  0.4253 
   00113    0.4292   -8253.1493  0.4224 
   00114    0.4160   -8274.6205  0.4211 
   00115    0.4436   -8277.3424  0.4274 
   00116    0.4148   -8293.0194  0.4262 
   00117    0.4148   -8300.5317  0.4261 
   00118    0.4216   -8289.1807  0.4233 
   00119    0.4088   -8310.9371  0.4235 
   00120    0.4204   -8269.3118  0.4283 
   00121    0.4260   -8284.0475  0.4251 
   00122    0.4252   -8319.5353  0.4293 
   00123    0.4256   -8317.2485  0.4323 
   00124    0.4172   -8293.0114  0.4330 
   00125    0.4284   -8332.4109  0.4293 
   00126    0.4344   -8341.8110  0.4280 
   00127    0.4092   -8344.1356  0.4279 
   00128    0.4244   -8401.3274  0.4276 
   00129    0.4344   -8370.7605  0.4222 
   00130    0.4172   -8363.0265  0.4151 
   00131    0.4164   -8382.9463  0.4146 
   00132    0.4360   -8324.6404  0.4176 
   00133    0.4180   -8287.8454  0.4159 
   00134    0.4232   -8313.1283  0.4181 
   00135    0.3992   -8369.1867  0.4160 
   00136    0.4224   -8345.7158  0.4131 
   00137    0.4168   -8368.0006  0.4100 
   00138    0.4160   -8357.7821  0.4192 
   00139    0.4204   -8377.8466  0.4187 
   00140    0.4080   -8380.4273  0.4145 
   00141    0.4152   -8360.3278  0.4067 
   00142    0.4080   -8389.7559  0.4109 
   00143    0.4140   -8417.8109  0.4087 
   00144    0.4032   -8350.6178  0.4131 
   00145    0.4116   -8322.9812  0.4098 
   00146    0.4240   -8331.6680  0.4106 
   00147    0.4016   -8342.3037  0.4104 
   00148    0.4180   -8352.4673  0.4180 
   00149    0.4152   -8339.6216  0.4196 
   00150    0.4148   -8331.8064  0.4229 
   00151    0.4240   -8329.9263  0.4269 
   00152    0.4148   -8361.9094  0.4233 
   00153    0.4200   -8331.9922  0.4191 
   00154    0.4368   -8366.5364  0.4168 
   00155    0.4196   -8393.1416  0.4180 
   00156    0.4096   -8410.3017  0.4181 
   00157    0.4196   -8384.6674  0.4146 
   00158    0.4200   -8358.0447  0.4093 
   00159    0.4356   -8337.0482  0.4057 
   00160    0.4116   -8372.5257  0.3948 
   00161    0.4252   -8366.6809  0.3944 
   00162    0.4176   -8425.4245  0.3949 
   00163    0.4080   -8371.3180  0.3964 
   00164    0.4092   -8304.6790  0.3904 
   00165    0.4128   -8308.9615  0.3951 
   00166    0.3944   -8306.4894  0.3939 
   00167    0.4116   -8312.1304  0.3977 
   00168    0.4272   -8359.1903  0.4017 
   00169    0.3992   -8361.2310  0.4075 
   00170    0.4204   -8345.3101  0.4013 
   00171    0.4056   -8346.3226  0.3982 
   00172    0.4056   -8392.1195  0.4009 
   00173    0.4080   -8380.6588  0.4038 
   00174    0.4224   -8390.3833  0.4069 
   00175    0.4184   -8405.2882  0.4130 
   00176    0.4048   -8415.8587  0.4147 
   00177    0.4368   -8380.8027  0.4111 
   00178    0.4176   -8330.2994  0.4104 
   00179    0.4240   -8372.2123  0.4108 
   00180    0.4148   -8453.6112  0.4104 
   00181    0.4232   -8444.9722  0.4101 
   00182    0.4340   -8393.3610  0.4102 
   00183    0.4184   -8437.4488  0.4088 
   00184    0.4008   -8429.6235  0.4092 
   00185    0.3964   -8446.7056  0.4077 
   00186    0.4028   -8475.5541  0.4060 
   00187    0.4092   -8483.1973  0.4092 
   00188    0.4084   -8470.5326  0.4087 
   00189    0.4140   -8458.8030  0.4167 
   00190    0.4208   -8409.2639  0.4203 
   00191    0.4260   -8460.5800  0.4236 
   00192    0.4364   -8492.4948  0.4244 
   00193    0.4052   -8449.4325  0.4283 
   00194    0.3960   -8435.3067  0.4228 
   00195    0.4072   -8446.8649  0.4205 
   00196    0.4236   -8406.1247  0.4160 
   00197    0.3932   -8396.8281  0.4232 
   00198    0.4084   -8375.0891  0.4258 
   00199    0.4092   -8452.6744  0.4278 
   00200    0.4280   -8475.5155  0.4236 
