#=====================================================
# File created:        Fri-15-Mar-2024-at-12-59-30AM
# Size of lattice:     50x50
# Number of MC steps:  150
# Reduced temperature: 0.500
# Run time (s):        1.997868
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2428.7845  0.2664 
   00001    0.9976   -3248.2340  0.2691 
   00002    0.8384   -3890.8744  0.2721 
   00003    0.7160   -4376.0261  0.2729 
   00004    0.7024   -4784.7526  0.2706 
   00005    0.6744   -5100.5578  0.2761 
   00006    0.5584   -5372.8205  0.2736 
   00007    0.5904   -5628.0521  0.2727 
   00008    0.4976   -5840.6792  0.2788 
   00009    0.4552   -5996.0373  0.2825 
   00010    0.4496   -6141.9988  0.2845 
   00011    0.4088   -6287.0278  0.2880 
   00012    0.4136   -6409.8102  0.2883 
   00013    0.4120   -6530.8779  0.2916 
   00014    0.3792   -6633.3483  0.2950 
   00015    0.3672   -6711.7172  0.2955 
   00016    0.3720   -6823.8985  0.2999 
   00017    0.3536   -6916.9988  0.2980 
   00018    0.3336   -7006.7313  0.2975 
   00019    0.3176   -7101.9430  0.3022 
   00020    0.3144   -7156.9635  0.3043 
   00021    0.3064   -7207.9106  0.3085 
   00022    0.3200   -7289.2696  0.3103 
   00023    0.2904   -7337.1604  0.3153 
   00024    0.2648   -7381.1436  0.3145 
   00025    0.2464   -7422.3674  0.3167 
   00026    0.2544   -7432.7794  0.3141 
   00027    0.2536   -7476.2564  0.3163 
   00028    0.2776   -7538.6936  0.3161 
   00029    0.2440   -7547.0381  0.3162 
   00030    0.2360   -7586.7291  0.3160 
   00031    0.2472   -7627.8519  0.3194 
   00032    0.2392   -7661.3464  0.3218 
   00033    0.2384   -7701.6787  0.3190 
   00034    0.2384   -7733.1205  0.3171 
   00035    0.2272   -7740.7738  0.3196 
   00036    0.2472   -7775.8171  0.3219 
   00037    0.2208   -7828.5900  0.3220 
   00038    0.2328   -7857.4726  0.3215 
   00039    0.2136   -7886.1792  0.3208 
   00040    0.2432   -7910.0477  0.3230 
   00041    0.2032   -7934.4874  0.3261 
   00042    0.2024   -7963.7064  0.3262 
   00043    0.2096   -7978.1279  0.3290 
   00044    0.1784   -7997.6699  0.3302 
   00045    0.2376   -8029.7139  0.3324 
   00046    0.1632   -8052.3956  0.3308 
   00047    0.2088   -8075.4074  0.3299 
   00048    0.2272   -8073.1841  0.3323 
   00049    0.1880   -8098.2571  0.3332 
   00050    0.2168   -8121.4009  0.3371 
   00051    0.1952   -8145.7517  0.3380 
   00052    0.1960   -8183.1056  0.3391 
   00053    0.1656   -8223.4094  0.3376 
   00054    0.1872   -8231.0257  0.3344 
   00055    0.1800   -8247.0278  0.3363 
   00056    0.1672   -8274.3069  0.3382 
   00057    0.1568   -8300.0053  0.3376 
   00058    0.1680   -8298.8274  0.3373 
   00059    0.1840   -8336.5527  0.3369 
   00060    0.1752   -8361.5133  0.3425 
   00061    0.1608   -8369.8912  0.3423 
   00062    0.1648   -8378.9304  0.3467 
   00063    0.1504   -8388.4220  0.3470 
   00064    0.1144   -8396.1364  0.3467 
   00065    0.1672   -8395.1370  0.3495 
   00066    0.1520   -8415.2989  0.3495 
   00067    0.1832   -8431.1612  0.3494 
   00068    0.1480   -8438.7733  0.3498 
   00069    0.1448   -8456.8867  0.3523 
   00070    0.1328   -8469.9425  0.3544 
   00071    0.1520   -8481.0076  0.3536 
   00072    0.1336   -8479.5243  0.3539 
   00073    0.1576   -8501.5652  0.3544 
   00074    0.1856   -8521.9194  0.3533 
   00075    0.1056   -8532.4632  0.3548 
   00076    0.1400   -8541.0257  0.3560 
   00077    0.1432   -8561.8865  0.3563 
   00078    0.1456   -8581.4855  0.3565 
   00079    0.1168   -8577.2622  0.3556 
   00080    0.1400   -8561.4778  0.3532 
   00081    0.1392   -8586.9569  0.3537 
   00082    0.1152   -8598.6658  0.3524 
   00083    0.1392   -8614.6325  0.3522 
   00084    0.1056   -8612.7686  0.3521 
   00085    0.1232   -8624.9448  0.3517 
   00086    0.1256   -8629.5440  0.3533 
   00087    0.1600   -8649.5363  0.3536 
   00088    0.1360   -8653.1482  0.3534 
   00089    0.1400   -8663.8722  0.3524 
   00090    0.1152   -8668.5011  0.3524 
   00091    0.1488   -8683.2292  0.3533 
   00092    0.1448   -8678.1997  0.3526 
   00093    0.1304   -8702.8578  0.3537 
