#=====================================================
# File created:        Fri-15-Mar-2024-at-12-58-45AM
# Size of lattice:     50x50
# Number of MC steps:  75
# Reduced temperature: 0.500
# Run time (s):        0.977204
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2550.4410  0.2615 
   00001    1.0352   -3348.9014  0.2619 
   00002    0.8400   -3921.1688  0.2647 
   00003    0.7448   -4396.6009  0.2641 
   00004    0.6576   -4785.6670  0.2680 
   00005    0.6752   -5132.3982  0.2725 
   00006    0.5944   -5350.0233  0.2714 
   00007    0.5224   -5528.2848  0.2661 
   00008    0.5312   -5779.9726  0.2613 
   00009    0.4808   -5975.8328  0.2611 
   00010    0.4480   -6119.3656  0.2605 
   00011    0.4176   -6242.7773  0.2626 
   00012    0.4176   -6347.4234  0.2651 
   00013    0.3864   -6434.2981  0.2618 
   00014    0.3928   -6562.3114  0.2637 
   00015    0.3848   -6680.1124  0.2621 
   00016    0.3408   -6761.9650  0.2567 
   00017    0.3392   -6842.7741  0.2627 
   00018    0.3488   -6913.7592  0.2648 
   00019    0.3208   -7022.5281  0.2700 
   00020    0.3064   -7095.0769  0.2745 
   00021    0.2464   -7182.9993  0.2757 
   00022    0.2648   -7252.3059  0.2737 
   00023    0.3072   -7286.0460  0.2743 
   00024    0.2768   -7345.1553  0.2742 
   00025    0.2776   -7386.3953  0.2782 
   00026    0.2504   -7394.4935  0.2804 
   00027    0.2592   -7436.7718  0.2819 
   00028    0.2824   -7494.2812  0.2813 
   00029    0.2824   -7544.9575  0.2809 
   00030    0.2496   -7573.3243  0.2784 
   00031    0.2488   -7625.0561  0.2799 
   00032    0.2696   -7656.7719  0.2818 
   00033    0.1888   -7680.0035  0.2834 
   00034    0.2240   -7707.2689  0.2879 
   00035    0.2176   -7728.6981  0.2876 
   00036    0.2160   -7740.3912  0.2872 
   00037    0.2440   -7768.8592  0.2893 
   00038    0.2128   -7798.5758  0.2865 
   00039    0.2656   -7830.7345  0.2882 
   00040    0.2272   -7857.7035  0.2907 
   00041    0.2072   -7869.3237  0.2891 
   00042    0.2176   -7879.5518  0.2892 
   00043    0.2216   -7915.5815  0.2906 
   00044    0.1912   -7927.2164  0.2895 
   00045    0.2624   -7947.3821  0.2927 
   00046    0.1656   -7954.7141  0.2927 
   00047    0.2072   -7973.9942  0.2908 
   00048    0.2032   -8016.0790  0.2935 
   00049    0.2016   -8014.9120  0.2896 
   00050    0.1984   -8037.6741  0.2917 
   00051    0.2168   -8075.9517  0.2900 
   00052    0.1976   -8109.5909  0.2916 
   00053    0.1904   -8131.7536  0.2914 
   00054    0.2032   -8143.9349  0.2935 
   00055    0.1912   -8160.8656  0.2948 
   00056    0.1736   -8169.3795  0.2967 
   00057    0.2128   -8183.4263  0.2972 
   00058    0.1584   -8183.9601  0.2979 
   00059    0.1592   -8200.1825  0.2993 
   00060    0.2320   -8228.0051  0.3018 
   00061    0.1960   -8242.2057  0.3036 
   00062    0.1872   -8245.9544  0.3052 
   00063    0.1480   -8257.8605  0.3041 
   00064    0.1920   -8285.3777  0.3052 
   00065    0.1848   -8309.7617  0.3099 
   00066    0.1752   -8309.6341  0.3100 
   00067    0.1392   -8319.3049  0.3112 
   00068    0.1280   -8316.9771  0.3109 
   00069    0.1648   -8316.6141  0.3107 
   00070    0.1584   -8326.0524  0.3117 
   00071    0.1776   -8311.1635  0.3157 
   00072    0.1520   -8298.2844  0.3137 
   00073    0.1584   -8309.2915  0.3129 
   00074    0.1568   -8318.3490  0.3142 
   00075    0.1656   -8335.3886  0.3142 
