#=====================================================
# File created:        Fri-15-Mar-2024-at-12-55-08AM
# Size of lattice:     50x50
# Number of MC steps:  150
# Reduced temperature: 0.500
# Run time (s):        6.950784
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2593.2330  0.2592 
   00001    0.6748   -3757.7951  0.2689 
   00002    0.6132   -4510.2609  0.2792 
   00003    0.5888   -5041.9141  0.2768 
   00004    0.5564   -5430.9022  0.2782 
   00005    0.5500   -5844.4258  0.2790 
   00006    0.5264   -6140.3355  0.2833 
   00007    0.5096   -6364.3815  0.2917 
   00008    0.5124   -6622.0655  0.3021 
   00009    0.4920   -6777.6746  0.3052 
   00010    0.4804   -6868.9085  0.3168 
   00011    0.4736   -7003.9385  0.3159 
   00012    0.4624   -7086.6353  0.3199 
   00013    0.4408   -7209.5097  0.3327 
   00014    0.4708   -7318.9716  0.3388 
   00015    0.4592   -7399.2503  0.3429 
   00016    0.4548   -7459.7240  0.3398 
   00017    0.4592   -7527.1588  0.3533 
   00018    0.4400   -7549.8878  0.3511 
   00019    0.4312   -7614.9706  0.3632 
   00020    0.4368   -7626.3767  0.3717 
   00021    0.4392   -7627.3543  0.3756 
   00022    0.4284   -7646.3291  0.3768 
   00023    0.4384   -7682.6600  0.3814 
   00024    0.4284   -7749.0621  0.3799 
   00025    0.4496   -7759.8185  0.3824 
   00026    0.4496   -7744.3951  0.3830 
   00027    0.4348   -7808.7629  0.3873 
   00028    0.4404   -7834.9919  0.3881 
   00029    0.4184   -7854.6246  0.3907 
   00030    0.4520   -7859.2891  0.3921 
   00031    0.4444   -7872.4003  0.3918 
   00032    0.4208   -7889.6210  0.3952 
   00033    0.4296   -7938.5867  0.3968 
   00034    0.4344   -7947.7431  0.4038 
   00035    0.4104   -7967.1333  0.4031 
   00036    0.4360   -7989.2841  0.4006 
   00037    0.4340   -7994.8048  0.4050 
   00038    0.4132   -8018.1009  0.3998 
   00039    0.4352   -7980.3833  0.4019 
   00040    0.4260   -7987.9506  0.4027 
   00041    0.4504   -8026.1687  0.4011 
   00042    0.4324   -8057.5989  0.4017 
   00043    0.4280   -8047.3773  0.4061 
   00044    0.4196   -8082.1425  0.4022 
   00045    0.4220   -8067.6180  0.4029 
   00046    0.4280   -8079.7361  0.4033 
   00047    0.4312   -8052.1005  0.3993 
   00048    0.4424   -8076.7538  0.3992 
   00049    0.4200   -8048.4991  0.4009 
