#=====================================================
# File created:        Fri-15-Mar-2024-at-01-05-19AM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        1.132026
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2593.8717  0.2557 
   00001    0.6716   -3741.9018  0.2701 
   00002    0.6240   -4478.2775  0.2806 
   00003    0.5768   -5084.1686  0.2929 
   00004    0.5440   -5565.6160  0.2980 
   00005    0.5328   -5956.4747  0.3014 
   00006    0.5104   -6233.3381  0.3010 
   00007    0.5104   -6482.4166  0.2977 
   00008    0.4984   -6622.9930  0.3033 
   00009    0.5068   -6720.7808  0.3095 
   00010    0.4668   -6820.8302  0.3042 
   00011    0.4744   -6940.0990  0.3141 
   00012    0.4680   -6987.5485  0.3247 
   00013    0.4652   -7080.3484  0.3346 
   00014    0.4748   -7175.9696  0.3366 
   00015    0.4532   -7256.8301  0.3410 
   00016    0.4676   -7371.9785  0.3419 
   00017    0.4608   -7426.0818  0.3446 
   00018    0.4636   -7451.6125  0.3433 
   00019    0.4468   -7520.8733  0.3472 
   00020    0.4552   -7592.5943  0.3520 
   00021    0.4456   -7596.5884  0.3582 
   00022    0.4524   -7602.9193  0.3524 
   00023    0.4512   -7633.8693  0.3597 
   00024    0.4504   -7646.1392  0.3660 
   00025    0.4312   -7636.1979  0.3639 
   00026    0.4320   -7668.6586  0.3705 
   00027    0.4508   -7739.4763  0.3699 
   00028    0.4388   -7747.4319  0.3687 
   00029    0.4300   -7763.7260  0.3714 
   00030    0.4464   -7771.0856  0.3759 
   00031    0.4420   -7828.7088  0.3721 
   00032    0.4392   -7842.7807  0.3745 
   00033    0.4376   -7870.1108  0.3710 
   00034    0.4328   -7911.8023  0.3703 
   00035    0.4316   -7921.5613  0.3701 
   00036    0.4280   -7903.3369  0.3687 
   00037    0.4468   -7912.7796  0.3710 
   00038    0.4280   -7912.1553  0.3697 
   00039    0.4540   -7945.9756  0.3723 
   00040    0.4268   -7981.8949  0.3869 
   00041    0.4196   -7987.2727  0.3800 
   00042    0.4400   -8049.2233  0.3833 
   00043    0.4384   -8049.9085  0.3812 
   00044    0.4368   -8080.7367  0.3853 
   00045    0.4216   -8066.9183  0.3878 
   00046    0.4332   -8047.9001  0.3906 
   00047    0.4384   -8109.3549  0.3888 
   00048    0.4312   -8130.3229  0.3905 
   00049    0.4308   -8126.5008  0.3880 
   00050    0.4232   -8126.6584  0.3906 
