#=====================================================
# File created:        Fri-15-Mar-2024-at-12-54-08AM
# Size of lattice:     50x50
# Number of MC steps:  75
# Reduced temperature: 0.500
# Run time (s):        3.556188
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2523.6196  0.2684 
   00001    0.6912   -3767.8759  0.2797 
   00002    0.6144   -4588.6153  0.2903 
   00003    0.5964   -5074.4885  0.2956 
   00004    0.5592   -5508.4750  0.2997 
   00005    0.5276   -5848.5342  0.3166 
   00006    0.5320   -6092.7986  0.3354 
   00007    0.5284   -6354.8543  0.3374 
   00008    0.5072   -6552.7979  0.3425 
   00009    0.4780   -6681.3160  0.3500 
   00010    0.4872   -6811.8745  0.3578 
   00011    0.4800   -6971.8121  0.3685 
   00012    0.4700   -7093.0188  0.3762 
   00013    0.4748   -7173.3073  0.3824 
   00014    0.4440   -7253.8245  0.3973 
   00015    0.4712   -7350.8535  0.4088 
   00016    0.4612   -7448.4862  0.4125 
   00017    0.4448   -7509.7029  0.4110 
   00018    0.4452   -7509.7693  0.4085 
   00019    0.4404   -7590.3636  0.4140 
   00020    0.4528   -7630.7602  0.4186 
   00021    0.4556   -7658.8614  0.4206 
   00022    0.4504   -7635.9558  0.4218 
   00023    0.4468   -7711.9969  0.4254 
   00024    0.4368   -7848.4585  0.4210 
   00025    0.4308   -7859.8248  0.4240 
   00026    0.4348   -7848.6504  0.4322 
   00027    0.4312   -7859.1640  0.4289 
   00028    0.4236   -7858.9106  0.4273 
   00029    0.4456   -7822.3326  0.4234 
   00030    0.4300   -7909.8385  0.4272 
   00031    0.4464   -7972.0039  0.4283 
   00032    0.4264   -7963.8418  0.4287 
   00033    0.4356   -7993.1346  0.4304 
   00034    0.4268   -7997.1515  0.4322 
   00035    0.4368   -7994.8860  0.4331 
   00036    0.4228   -8018.4792  0.4372 
   00037    0.4240   -7997.3849  0.4362 
   00038    0.4412   -8015.8676  0.4415 
   00039    0.4316   -8020.7951  0.4438 
   00040    0.4360   -8031.5802  0.4416 
   00041    0.4476   -8031.0507  0.4482 
   00042    0.4128   -8035.3103  0.4516 
   00043    0.4184   -8022.2885  0.4574 
   00044    0.4316   -8020.5526  0.4556 
   00045    0.4280   -8063.6309  0.4642 
   00046    0.4292   -8090.8093  0.4651 
   00047    0.4216   -8092.4822  0.4695 
   00048    0.4128   -8111.4272  0.4713 
   00049    0.4056   -8119.8772  0.4726 
   00050    0.4160   -8158.3089  0.4710 
   00051    0.4168   -8190.4649  0.4702 
   00052    0.4192   -8195.6715  0.4759 
   00053    0.4280   -8174.2799  0.4709 
   00054    0.4296   -8221.0982  0.4748 
   00055    0.4240   -8203.4451  0.4680 
   00056    0.4156   -8191.0495  0.4670 
   00057    0.4268   -8175.3656  0.4645 
   00058    0.4176   -8219.1487  0.4676 
   00059    0.4280   -8265.6166  0.4663 
   00060    0.4124   -8263.8197  0.4722 
   00061    0.4152   -8263.4335  0.4768 
   00062    0.4212   -8246.6899  0.4787 
   00063    0.4092   -8265.0079  0.4815 
   00064    0.4336   -8282.6237  0.4864 
   00065    0.4284   -8278.5464  0.4860 
   00066    0.4132   -8232.4694  0.4857 
   00067    0.4136   -8209.4211  0.4808 
   00068    0.4352   -8209.0551  0.4845 
   00069    0.4412   -8205.8489  0.4895 
   00070    0.4320   -8241.8397  0.4934 
   00071    0.4248   -8260.2918  0.4924 
   00072    0.4108   -8293.1914  0.4969 
   00073    0.4428   -8271.2578  0.5031 
   00074    0.4156   -8261.2946  0.5080 
   00075    0.4296   -8290.3644  0.5103 
