#=====================================================
# File created:        Fri-15-Mar-2024-at-01-08-06AM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        1.128556
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2416.4344  0.2590 
   00001    0.6760   -3738.5824  0.2638 
   00002    0.6232   -4506.0998  0.2707 
   00003    0.5752   -5113.0068  0.2710 
   00004    0.5472   -5589.5392  0.2700 
   00005    0.5212   -5982.0321  0.2822 
   00006    0.5208   -6235.5373  0.2801 
   00007    0.5048   -6467.7053  0.2845 
   00008    0.4980   -6637.1393  0.2801 
   00009    0.4836   -6814.7155  0.2789 
   00010    0.4648   -7004.5592  0.2789 
   00011    0.4764   -7109.3190  0.2786 
   00012    0.4580   -7177.8607  0.2830 
   00013    0.4784   -7283.0456  0.2837 
   00014    0.4548   -7354.4450  0.2874 
   00015    0.4616   -7442.4776  0.2848 
   00016    0.4708   -7475.4828  0.2885 
   00017    0.4332   -7519.5670  0.2952 
   00018    0.4460   -7592.9794  0.2993 
   00019    0.4452   -7597.3225  0.2965 
   00020    0.4364   -7642.7005  0.2912 
   00021    0.4456   -7732.8257  0.2864 
   00022    0.4240   -7751.8066  0.2924 
   00023    0.4480   -7761.3497  0.2905 
   00024    0.4176   -7794.2241  0.2876 
   00025    0.4128   -7811.2114  0.2859 
   00026    0.4372   -7851.2516  0.2830 
   00027    0.4336   -7932.6132  0.2848 
   00028    0.4356   -7902.6649  0.2875 
   00029    0.4412   -7920.1432  0.2852 
   00030    0.4456   -7944.4009  0.2841 
   00031    0.4332   -7907.8177  0.2886 
   00032    0.4224   -7935.2453  0.2872 
   00033    0.4352   -7957.5727  0.2874 
   00034    0.4336   -7957.4630  0.2916 
   00035    0.4448   -7990.7322  0.2979 
   00036    0.4432   -7977.9614  0.2916 
   00037    0.4516   -8024.8778  0.2978 
   00038    0.4236   -8014.9744  0.2950 
   00039    0.4372   -8026.5868  0.2959 
   00040    0.4248   -8064.6821  0.2910 
   00041    0.4208   -8047.4192  0.2922 
   00042    0.4124   -8091.2932  0.2984 
   00043    0.4440   -8107.6495  0.2978 
   00044    0.4144   -8109.6345  0.2988 
   00045    0.4216   -8107.6574  0.2977 
   00046    0.4316   -8128.3677  0.2970 
   00047    0.4264   -8194.6556  0.2969 
   00048    0.4128   -8180.7116  0.2974 
   00049    0.4084   -8160.4450  0.2975 
   00050    0.4280   -8182.9074  0.2990 
   00051    0.4028   -8164.4560  0.2918 
   00052    0.4116   -8134.6508  0.2968 
   00053    0.4220   -8146.1633  0.2978 
   00054    0.4024   -8182.9606  0.2955 
   00055    0.4240   -8132.6982  0.3009 
   00056    0.4244   -8154.4514  0.3030 
   00057    0.4220   -8113.1004  0.2998 
   00058    0.4128   -8129.0205  0.3000 
   00059    0.4340   -8147.3564  0.2920 
   00060    0.4280   -8134.0570  0.2911 
   00061    0.4080   -8158.6870  0.2942 
   00062    0.4240   -8170.5833  0.2981 
   00063    0.4276   -8153.2983  0.3021 
   00064    0.4176   -8156.4467  0.3033 
   00065    0.4172   -8185.9701  0.3036 
   00066    0.4320   -8261.2616  0.3036 
   00067    0.4364   -8264.0381  0.3071 
   00068    0.4100   -8279.3376  0.3109 
   00069    0.4212   -8283.4319  0.3096 
   00070    0.4160   -8250.1824  0.3107 
   00071    0.4300   -8235.4034  0.3166 
   00072    0.4308   -8263.2107  0.3153 
   00073    0.4176   -8267.5155  0.3139 
   00074    0.4184   -8250.9923  0.3142 
   00075    0.4216   -8227.9248  0.3195 
   00076    0.4240   -8259.7872  0.3139 
   00077    0.4160   -8248.6367  0.3181 
   00078    0.4288   -8261.4985  0.3188 
   00079    0.4100   -8252.8881  0.3198 
   00080    0.4168   -8217.3566  0.3230 
   00081    0.3992   -8260.3360  0.3218 
   00082    0.3992   -8279.8227  0.3247 
   00083    0.4112   -8232.5363  0.3248 
   00084    0.3944   -8285.0076  0.3234 
   00085    0.4280   -8250.7893  0.3225 
   00086    0.4232   -8287.2043  0.3280 
   00087    0.4080   -8236.2010  0.3242 
   00088    0.4304   -8301.7082  0.3308 
   00089    0.4120   -8271.9846  0.3276 
   00090    0.4300   -8277.3131  0.3293 
   00091    0.4248   -8247.2345  0.3246 
   00092    0.4024   -8236.3709  0.3263 
   00093    0.4308   -8235.2299  0.3189 
   00094    0.4144   -8193.1368  0.3244 
   00095    0.4256   -8185.9772  0.3314 
   00096    0.4288   -8211.7285  0.3305 
   00097    0.4260   -8214.5473  0.3325 
   00098    0.4288   -8274.3799  0.3317 
   00099    0.4224   -8259.2556  0.3336 
   00100    0.4288   -8268.0793  0.3361 
   00101    0.4280   -8317.2915  0.3383 
   00102    0.4364   -8302.1835  0.3355 
   00103    0.4256   -8252.0101  0.3380 
   00104    0.4196   -8298.2954  0.3383 
   00105    0.4360   -8337.5011  0.3349 
   00106    0.4240   -8320.8054  0.3415 
   00107    0.4352   -8332.8285  0.3423 
   00108    0.4240   -8308.7056  0.3426 
   00109    0.4320   -8309.7586  0.3470 
   00110    0.4264   -8288.8431  0.3380 
   00111    0.4072   -8291.1826  0.3409 
   00112    0.4028   -8304.8178  0.3380 
   00113    0.4456   -8252.8573  0.3355 
   00114    0.4100   -8227.9368  0.3387 
   00115    0.4284   -8265.2676  0.3397 
   00116    0.4120   -8252.8699  0.3351 
   00117    0.4192   -8287.3947  0.3366 
   00118    0.4028   -8252.5409  0.3379 
   00119    0.4404   -8231.8472  0.3394 
   00120    0.3924   -8267.7807  0.3472 
   00121    0.3988   -8303.5185  0.3442 
   00122    0.4264   -8307.5250  0.3459 
   00123    0.4216   -8283.6845  0.3531 
   00124    0.4156   -8324.7329  0.3503 
   00125    0.4332   -8310.6244  0.3511 
   00126    0.4044   -8328.6067  0.3515 
   00127    0.4232   -8322.3095  0.3560 
   00128    0.4228   -8346.4629  0.3596 
   00129    0.4212   -8355.7077  0.3607 
   00130    0.4212   -8349.8029  0.3594 
   00131    0.4092   -8373.9092  0.3602 
   00132    0.4152   -8347.0020  0.3546 
   00133    0.4092   -8331.5807  0.3563 
   00134    0.4116   -8338.8285  0.3646 
   00135    0.4120   -8320.8369  0.3630 
   00136    0.4224   -8337.2659  0.3642 
   00137    0.4160   -8352.9592  0.3603 
   00138    0.4124   -8350.0962  0.3609 
   00139    0.4112   -8390.9498  0.3611 
   00140    0.4196   -8363.8305  0.3589 
   00141    0.4304   -8370.4126  0.3657 
   00142    0.4056   -8384.6604  0.3680 
   00143    0.4200   -8344.4132  0.3631 
   00144    0.4228   -8321.8635  0.3694 
   00145    0.4260   -8381.1755  0.3688 
   00146    0.4052   -8387.5207  0.3748 
   00147    0.4152   -8402.6261  0.3757 
   00148    0.4108   -8394.5702  0.3692 
   00149    0.4172   -8429.2264  0.3723 
   00150    0.4216   -8443.3835  0.3710 
   00151    0.4316   -8392.3556  0.3658 
   00152    0.4124   -8337.5236  0.3665 
   00153    0.4180   -8338.2339  0.3723 
   00154    0.4316   -8331.5615  0.3738 
   00155    0.4108   -8391.4645  0.3726 
   00156    0.4004   -8358.7588  0.3749 
   00157    0.4144   -8412.3409  0.3747 
   00158    0.4020   -8413.9819  0.3731 
   00159    0.4140   -8400.0487  0.3753 
   00160    0.4196   -8332.8639  0.3728 
   00161    0.4156   -8336.0806  0.3767 
   00162    0.4220   -8311.8981  0.3782 
   00163    0.4104   -8339.1115  0.3754 
   00164    0.4336   -8321.6449  0.3742 
   00165    0.4072   -8365.9671  0.3754 
   00166    0.4136   -8399.0595  0.3803 
   00167    0.4060   -8443.7827  0.3829 
   00168    0.4364   -8447.3916  0.3764 
   00169    0.4108   -8466.3266  0.3757 
   00170    0.4388   -8434.9671  0.3740 
   00171    0.4132   -8430.2480  0.3721 
   00172    0.4168   -8439.0419  0.3683 
   00173    0.4176   -8404.2616  0.3677 
   00174    0.4116   -8404.7673  0.3658 
   00175    0.4080   -8399.0269  0.3685 
   00176    0.4124   -8440.3663  0.3708 
   00177    0.4012   -8443.6969  0.3709 
   00178    0.4136   -8458.5156  0.3711 
   00179    0.4152   -8418.3973  0.3688 
   00180    0.4184   -8414.9008  0.3716 
   00181    0.4060   -8402.1482  0.3691 
   00182    0.3868   -8395.7034  0.3721 
   00183    0.4020   -8398.1454  0.3738 
   00184    0.4176   -8392.9305  0.3710 
   00185    0.4116   -8413.3212  0.3701 
   00186    0.4132   -8448.9657  0.3724 
   00187    0.4016   -8412.8705  0.3792 
   00188    0.4276   -8455.1878  0.3835 
   00189    0.4284   -8419.8498  0.3856 
   00190    0.4288   -8467.2210  0.3905 
   00191    0.4220   -8444.3991  0.3940 
   00192    0.4084   -8433.0405  0.3997 
   00193    0.4028   -8452.7640  0.3977 
   00194    0.4112   -8442.0081  0.3941 
   00195    0.4020   -8419.3169  0.3932 
   00196    0.4060   -8425.3065  0.3919 
   00197    0.4220   -8465.1544  0.3874 
   00198    0.4272   -8461.4790  0.3888 
   00199    0.4016   -8449.6157  0.3855 
   00200    0.4228   -8439.6054  0.3838 
